Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80
Time [s]	0	880	1759.9	2639.9	3520	4400	5279.9	6159.9	7039.9	7919.8	8799.8	9679.8	10559.7	11439.7	12319.7	13199.6	14079.6	14959.6	15839.5	16719.5	17599.5	18479.4	19359.4	20239.4	21119.3	21999.3	22879.2	23759.2	24639.2	25519.1	26399.1	27279.1	28159	29039	29919	30798.9	31678.9	32558.9	33438.8	34318.8	35198.8	36078.8	36959	37838.9	38718.9	39598.9	40478.8	41358.8	42238.8	43118.7	43998.7	44878.7	45759	46638.9	47518.9	48398.8	49278.8	50158.8	51038.7	51918.7	52798.6	53678.6	54558.6																	
Temp. [°C]	23.4	37.5	37	37.3	37.3	37.3	37.7	37.3	36.9	36.8	36.9	37.1	37.4	37.6	37.7	37.1	36.9	37.3	37.6	37.7	37.3	36.8	36.9	37.2	37.4	37.6	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.6	37.5	37.3	37.1	36.9	37.1	37.7	37.7	37.3	37	37	37.7	37.5	37.1	37	37.7	37.5	37	37.2	37.7	37.6	37.4	37.2	37	36.9	36.9	36.9																	
A1	0.0854	0.0862	0.0863	0.0865	0.0877	0.0891	0.0917	0.0953	0.1008	0.1079	0.1194	0.1396	0.1708	0.2202	0.2914	0.3583	0.444	0.5032	0.5496	0.57	0.5768	0.5881	0.6035	0.6183	0.6261	0.6336	0.6382	0.6502	0.6499	0.6579	0.6646	0.6667	0.6739	0.6786	0.6879	0.6863	0.6912	0.6948	0.6996	0.7013	0.714	0.7194	0.7223	0.724	0.7266	0.729	0.7309	0.7242	0.7174	0.7178	0.7156	0.71	0.7014	0.7047	0.6978	0.6973	0.6939	0.6934	0.6929	0.691	0.6921	0.6851	0.6868																	
A2	0.0856	0.0854	0.0861	0.0848	0.0852	0.0858	0.0873	0.0885	0.0914	0.0953	0.1009	0.1099	0.1241	0.1474	0.1769	0.2261	0.2528	0.3226	0.3915	0.4455	0.4842	0.4908	0.4957	0.4974	0.4989	0.4949	0.4879	0.4817	0.4747	0.4666	0.4622	0.4558	0.452	0.4481	0.4511	0.4547	0.4632	0.4687	0.4761	0.4542	0.463	0.4395	0.443	0.4526	0.4506	0.4867	0.4826	0.5168	0.5304	0.509	0.4978	0.4994	0.4905	0.4908	0.4892	0.494	0.4842	0.4894	0.4855	0.4857	0.4844	0.4813	0.4818																	
A3	0.0891	0.088	0.0876	0.0873	0.0888	0.0905	0.0918	0.0951	0.1006	0.1068	0.1178	0.1354	0.1606	0.2049	0.2635	0.3402	0.4299	0.4825	0.5295	0.5527	0.55	0.5569	0.5735	0.5877	0.5977	0.6058	0.6146	0.6207	0.6244	0.629	0.6318	0.6342	0.6395	0.6446	0.6487	0.6516	0.6522	0.6591	0.6605	0.6687	0.6779	0.6788	0.6878	0.6857	0.6951	0.6961	0.6969	0.7006	0.7002	0.7115	0.7141	0.7204	0.7152	0.7105	0.7103	0.7063	0.7034	0.7075	0.7025	0.7022	0.699	0.6915	0.6948																	
A4	0.0875	0.0873	0.0868	0.0865	0.0886	0.0904	0.0937	0.0972	0.1031	0.1109	0.1197	0.1324	0.1501	0.1763	0.2044	0.2436	0.2865	0.3212	0.3391	0.3265	0.3108	0.3234	0.3516	0.3709	0.3891	0.3852	0.3942	0.4005	0.4008	0.3996	0.4092	0.4092	0.4144	0.4184	0.4219	0.4257	0.4343	0.4342	0.4463	0.462	0.4633	0.4662	0.4813	0.4773	0.4897	0.4978	0.4958	0.5024	0.5004	0.5134	0.5137	0.5101	0.5086	0.5193	0.5232	0.523	0.5271	0.5298	0.5386	0.5388	0.5384	0.5348	0.543																	
A5	0.0893	0.0879	0.089	0.0888	0.0903	0.0923	0.096	0.1009	0.1084	0.1196	0.1369	0.1603	0.1972	0.258	0.3284	0.3855	0.4472	0.5009	0.5232	0.5337	0.549	0.5594	0.5741	0.5755	0.5866	0.5903	0.604	0.6065	0.6137	0.6145	0.6236	0.6231	0.6342	0.627	0.6333	0.6316	0.6412	0.6349	0.6494	0.6453	0.6527	0.6589	0.6548	0.6629	0.6606	0.6637	0.6678	0.6703	0.6605	0.6636	0.6558	0.6562	0.645	0.6473	0.6421	0.6403	0.6355	0.6328	0.6333	0.6312	0.63	0.6213	0.6251																	
A6	0.089	0.088	0.0878	0.0874	0.0882	0.089	0.0906	0.0914	0.094	0.0963	0.0987	0.1013	0.1062	0.1124	0.1165	0.1219	0.1282	0.1335	0.1385	0.1401	0.1456	0.1422	0.1397	0.1387	0.1398	0.1369	0.136	0.1379	0.1359	0.1357	0.1334	0.1332	0.1289	0.126	0.1236	0.1211	0.1192	0.1166	0.1143	0.1126	0.1104	0.1101	0.1089	0.1078	0.1068	0.1066	0.1062	0.1054	0.1054	0.1053	0.1044	0.1036	0.1037	0.1022	0.1013	0.1017	0.1006	0.0999	0.1012	0.1001	0.0994	0.0984	0.0992																	
A7	0.0855	0.0849	0.0858	0.0856	0.0869	0.0886	0.093	0.0949	0.1015	0.1112	0.1296	0.156	0.2003	0.2694	0.3399	0.413	0.4758	0.5294	0.5597	0.5692	0.5801	0.5893	0.6003	0.6095	0.6161	0.6182	0.6157	0.6151	0.6139	0.6137	0.6197	0.6114	0.6119	0.6169	0.6097	0.6064	0.6048	0.6026	0.6009	0.6059	0.6033	0.5941	0.5961	0.5779	0.5779	0.5721	0.5692	0.5627	0.5483	0.5381	0.5287	0.5154	0.4987	0.493	0.4834	0.4732	0.4698	0.4663	0.4521	0.4434	0.4313	0.425	0.4076																	
A8	0.0875	0.0864	0.0865	0.0869	0.0869	0.0878	0.0885	0.0894	0.0916	0.0944	0.0989	0.1062	0.1178	0.1372	0.1621	0.2038	0.2475	0.2971	0.3629	0.4163	0.4621	0.4914	0.4947	0.4967	0.5007	0.5023	0.5008	0.4976	0.4922	0.4843	0.4797	0.4718	0.4661	0.4582	0.4531	0.4453	0.4418	0.4372	0.4395	0.4421	0.4476	0.4484	0.4476	0.4513	0.4543	0.4484	0.4407	0.4341	0.4275	0.4483	0.4479	0.4515	0.3791	0.4553	0.5292	0.5082	0.5079	0.5012	0.4997	0.4946	0.4923	0.481	0.4861																	
A9	0.0857	0.0845	0.0853	0.0849	0.0857	0.0879	0.0907	0.0928	0.0988	0.1086	0.123	0.1425	0.1801	0.2424	0.3114	0.3848	0.4429	0.4948	0.5312	0.551	0.5536	0.5653	0.5746	0.5838	0.5958	0.6166	0.6151	0.6321	0.632	0.6286	0.6364	0.6366	0.6388	0.6462	0.6468	0.6441	0.6504	0.662	0.649	0.6605	0.6629	0.6671	0.6705	0.6722	0.6753	0.6768	0.6789	0.6791	0.6766	0.6875	0.6905	0.6982	0.6861	0.6904	0.6869	0.6806	0.6804	0.6745	0.6813	0.6707	0.6705	0.6685	0.6682																	
