Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80
Time [s]	0	879.9	1759.8	2639.8	3519.7	4399.6	5279.5	6159.5	7039.4	7919.3	8799.2	9679.1	10559.1	11439	12318.9	13198.8	14078.8	14958.7	15838.6	16718.5	17598.4	18478.4	19358.3	20238.2	21118.1	21998	22877.9	23757.9	24637.8	25517.7	26397.6	27277.5	28157.5	29037.4	29917.3	30797.2	31677.2	32557.1	33437	34316.9	35196.8	36076.7	36957	37836.9	38716.9	39596.8	40476.7	41356.6	42236.5	43116.5	43996.4	44876.3	45756.3	46636.2	47516.1	48396	49275.9	50155.9	51035.8	51915.7	52795.7																			
Temp. [°C]	20.3	37.3	37.4	36.9	36.8	37.6	37.7	36.9	37.7	37.5	37.4	37.5	37.6	37.7	37.7	37.5	36.8	37	37.3	37.5	37.6	37.7	37.7	37.7	37.5	37.3	37.3	37.3	37.6	37.6	37.7	37.7	37.7	37.6	37.4	37.3	37.1	36.8	37.4	37.7	37.7	37.4	37	37	37.7	37.6	37.2	36.8	37.7	37.4	37	37.3	37.6	37.1	37	37.7	37.1	37.6	37.5	36.8	37.7																			
A1	0.0902	0.0904	0.0903	0.0911	0.0914	0.0924	0.0938	0.0964	0.1001	0.1043	0.1117	0.1261	0.1448	0.1781	0.2219	0.2828	0.3382	0.3837	0.4425	0.4683	0.4854	0.4896	0.5004	0.5039	0.5088	0.5205	0.5359	0.5532	0.5625	0.5813	0.594	0.6123	0.6246	0.6392	0.6487	0.6618	0.6755	0.6759	0.6886	0.6854	0.6904	0.6947	0.6983	0.7036	0.7011	0.7023	0.6991	0.6968	0.6907	0.6897	0.6898	0.6923	0.6799	0.6796	0.6767	0.6793	0.6803	0.6764	0.6719	0.672	0.6735																			
A2	0.0924	0.0902	0.0899	0.09	0.0906	0.0921	0.0933	0.0959	0.0986	0.1001	0.1129	0.1071	0.0984	0.0959	0.0953	0.0952	0.0946	0.0935	0.0941	0.0929	0.0931	0.0929	0.0933	0.0926	0.092	0.0924	0.0922	0.0922	0.0915	0.0919	0.0914	0.0916	0.0911	0.0912	0.0912	0.0912	0.0917	0.0911	0.0919	0.0925	0.0916	0.092	0.0924	0.0933	0.0958	0.0963	0.0988	0.1029	0.1075	0.1147	0.1259	0.1421	0.1591	0.1856	0.2163	0.2545	0.2653	0.275	0.2994	0.3365	0.3694																			
A3	0.0923	0.0913	0.0914	0.0913	0.0919	0.0925	0.0933	0.0949	0.0969	0.0984	0.1019	0.104	0.1081	0.1125	0.1159	0.122	0.1294	0.1346	0.1491	0.1575	0.1733	0.1968	0.2225	0.2393	0.262	0.2803	0.3194	0.3221	0.3257	0.3182	0.3153	0.3197	0.3189	0.326	0.3291	0.3343	0.3417	0.3412	0.353	0.3565	0.3632	0.369	0.3734	0.3885	0.3905	0.4097	0.406	0.4148	0.4193	0.4176	0.4274	0.4346	0.4333	0.4501	0.4436	0.4474	0.4668	0.4475	0.4517	0.4512	0.4647																			
A4	0.0907	0.0914	0.0901	0.09	0.0901	0.0915	0.0918	0.0925	0.0941	0.0953	0.0975	0.0995	0.1019	0.1041	0.1072	0.1096	0.1139	0.1172	0.124	0.1274	0.1352	0.1421	0.1506	0.1552	0.1579	0.1572	0.1535	0.1501	0.1436	0.1422	0.1384	0.1347	0.1349	0.1317	0.1286	0.1275	0.1282	0.1266	0.1254	0.1218	0.1212	0.1205	0.1219	0.1201	0.1191	0.1189	0.1183	0.118	0.117	0.117	0.1171	0.1181	0.1176	0.1159	0.1155	0.1166	0.1166	0.1175	0.1176	0.1189	0.121																			
A5	0.0962	0.0966	0.0953	0.0957	0.0957	0.0964	0.0973	0.099	0.1034	0.1068	0.1143	0.1257	0.1413	0.1652	0.2001	0.2543	0.3126	0.3548	0.4108	0.4497	0.4708	0.4926	0.4999	0.5022	0.5146	0.523	0.5323	0.5476	0.5559	0.5689	0.5787	0.593	0.6043	0.6183	0.6238	0.6373	0.6494	0.6516	0.6671	0.667	0.6747	0.6785	0.6814	0.6841	0.6866	0.6936	0.6955	0.6933	0.6884	0.6849	0.684	0.6888	0.6732	0.6714	0.6685	0.6677	0.6661	0.6628	0.6578	0.6578	0.6575																			
A6	0.0925	0.0925	0.0926	0.0911	0.091	0.0924	0.093	0.0941	0.0958	0.0982	0.1007	0.1046	0.111	0.1203	0.1351	0.1552	0.189	0.2259	0.2728	0.3172	0.3711	0.4108	0.4362	0.4494	0.4515	0.4583	0.4638	0.4657	0.4636	0.4705	0.4759	0.4833	0.4872	0.4969	0.5046	0.5083	0.5167	0.5188	0.527	0.5256	0.5281	0.5274	0.5263	0.5287	0.5257	0.526	0.5207	0.517	0.5138	0.514	0.5057	0.4979	0.4733	0.4615	0.4483	0.4403	0.4282	0.4101	0.3964	0.3892	0.3734																			
A7	0.0896	0.0911	0.0886	0.0903	0.0894	0.091	0.0914	0.0929	0.0964	0.1007	0.1066	0.1179	0.1353	0.1587	0.199	0.2574	0.3258	0.3722	0.4258	0.4481	0.4606	0.4678	0.4703	0.4697	0.4718	0.4778	0.4845	0.4917	0.4952	0.5052	0.5038	0.5174	0.5152	0.5218	0.528	0.5328	0.5421	0.5394	0.5465	0.5426	0.545	0.5482	0.5405	0.5386	0.5387	0.5329	0.5299	0.5328	0.5237	0.5164	0.5154	0.5075	0.4894	0.4814	0.4727	0.4667	0.4546	0.4436	0.4314	0.4239	0.4153																			
A8	0.0903	0.0906	0.0912	0.0911	0.0896	0.0902	0.0912	0.0944	0.1081	0.1096	0.112	0.1147	0.115	0.1124	0.1129	0.113	0.1137	0.1129	0.1163	0.1167	0.1213	0.1279	0.1381	0.1505	0.1745	0.2087	0.2437	0.288	0.3282	0.3668	0.3994	0.4199	0.4222	0.4241	0.4185	0.4184	0.4226	0.4213	0.424	0.4209	0.4236	0.4241	0.424	0.4258	0.4262	0.4318	0.4319	0.4341	0.4329	0.4353	0.4391	0.447	0.4381	0.4437	0.4445	0.4556	0.4614	0.4628	0.4669	0.4773	0.4852																			
