Time [s]	0	880.3	1760.5	2640.8	3521	4401.3	5281.6	6161.8	7042.1	7922.4	8802.6	9682.9	10563.1	11443.4	12323.6	13203.9	14084.1	14964.4	15844.6	16724.9	17605.2	18485.4	19365.7	20245.9	21126.2	22006.4	22886.7	23767	24647.2	25527.5	26407.8	27288	28168.3	29048.5	29928.8	30809	31689.3	32569.6	33449.8	34330.1	35210.4	36090.6	36971.2	37851.4	38731.7	39611.9	40492.2	41372.5	42252.7	43133	44013.2	44893.5	45773.7	46654	47534.2	48414.5	49294.8	50175	51055.3	51935.6	52815.8	53696.1	54576.3	55456.6	56336.8
Temp. [°C]	21	37.1	37.3	36.8	37	37	36.8	37.6	37.2	36.8	37.4	37.7	37.7	37.7	37.7	37.6	37.5	37.3	37.2	37	36.8	37	37.7	37.6	37.3	36.9	36.8	37.7	37.7	37.3	36.9	37.4	37.7	37.3	36.8	37.6	37.6	37.1	37.2	37.7	37.2	36.9	37.6	37.1	37.6	37.5	36.8	37.7	37.4	36.9	37.7	36.9	37.7	37.4	37	37.6	36.8	37.7	37.1	37.7	37.3	37.3	37.4	36.8	37.7
A1	0.092	0.0904	0.0925	0.0901	0.0913	0.0932	0.0927	0.094	0.094	0.0938	0.0922	0.0925	0.0908	0.0929	0.094	0.0959	0.0987	0.1039	0.1123	0.1206	0.143	0.174	0.2182	0.2708	0.3394	0.3913	0.4332	0.4961	0.4761	0.473	0.472	0.4676	0.4707	0.4693	0.4719	0.4737	0.4723	0.4764	0.4763	0.483	0.4858	0.4882	0.4974	0.4911	0.4949	0.4936	0.4964	0.4985	0.5011	0.5034	0.5028	0.4989	0.4982	0.4959	0.4929	0.4971	0.4983	0.5074	0.5096	0.5115	0.5201	0.5294	0.5345	0.5401	0.5452
A2	0.0904	0.0903	0.0921	0.0868	0.0887	0.0877	0.0893	0.0888	0.0902	0.089	0.0919	0.0895	0.0896	0.0926	0.0905	0.0934	0.0986	0.1029	0.1098	0.1231	0.1458	0.1726	0.2188	0.2782	0.3504	0.4039	0.4382	0.5002	0.4765	0.4759	0.4738	0.47	0.4779	0.4774	0.4771	0.4757	0.4747	0.479	0.4788	0.4872	0.4909	0.49	0.4978	0.4934	0.496	0.4953	0.4976	0.5031	0.5049	0.5076	0.5069	0.5017	0.4987	0.499	0.4979	0.4935	0.5002	0.506	0.5117	0.5123	0.52	0.5211	0.5286	0.531	0.5386
A3	0.0964	0.0953	0.0947	0.0936	0.093	0.0951	0.0961	0.0972	0.0969	0.0944	0.095	0.0968	0.0969	0.0993	0.1035	0.1089	0.1154	0.1293	0.1474	0.1846	0.2211	0.2858	0.3508	0.4002	0.4412	0.4821	0.464	0.4667	0.4616	0.4589	0.4604	0.4601	0.464	0.4663	0.4687	0.4711	0.4713	0.4777	0.4764	0.4833	0.4812	0.4839	0.4884	0.4866	0.4896	0.4905	0.4916	0.4964	0.4979	0.5007	0.4999	0.4981	0.499	0.4964	0.4954	0.4996	0.5041	0.5139	0.517	0.5193	0.53	0.5347	0.5394	0.5471	0.5512
A4	0.0919	0.0923	0.0898	0.0885	0.0896	0.0914	0.0895	0.0924	0.0913	0.0938	0.092	0.0959	0.095	0.0948	0.0981	0.1092	0.1178	0.13	0.1497	0.1826	0.2243	0.2854	0.3539	0.4025	0.4373	0.4726	0.4607	0.4585	0.4566	0.456	0.4551	0.4577	0.4594	0.4654	0.4662	0.4677	0.4672	0.4703	0.4687	0.4748	0.4781	0.4789	0.4824	0.4817	0.4835	0.4869	0.4927	0.491	0.4989	0.5025	0.5033	0.5063	0.5103	0.5077	0.5023	0.5134	0.5151	0.5241	0.5265	0.5287	0.5368	0.5482	0.5517	0.5487	0.5588
A5	0.0884	0.09	0.0888	0.0909	0.0868	0.0893	0.09	0.0925	0.0938	0.0906	0.0909	0.0896	0.0878	0.0933	0.0927	0.0941	0.0927	0.0903	0.0883	0.0899	0.091	0.0929	0.0971	0.1073	0.1065	0.1148	0.1202	0.1357	0.1713	0.2074	0.2555	0.2802	0.3203	0.3339	0.3884	0.4154	0.4121	0.4245	0.4192	0.435	0.4434	0.4465	0.4489	0.4516	0.4445	0.4469	0.4484	0.4525	0.4548	0.4589	0.4647	0.4734	0.4764	0.4719	0.474	0.485	0.4829	0.4892	0.4882	0.4893	0.4919	0.5027	0.5087	0.5041	0.5101
A6	0.0937	0.096	0.0919	0.0918	0.0914	0.0914	0.0928	0.0922	0.0944	0.0931	0.0955	0.0929	0.0966	0.0913	0.0945	0.0972	0.0976	0.0971	0.0946	0.0925	0.0957	0.0983	0.1009	0.1031	0.1094	0.1142	0.1285	0.1376	0.1648	0.2005	0.2451	0.2799	0.3133	0.3322	0.3697	0.4006	0.3963	0.4112	0.4146	0.4307	0.4364	0.4356	0.4322	0.4359	0.4368	0.4383	0.4388	0.4427	0.4504	0.4557	0.4607	0.4668	0.4688	0.4688	0.4722	0.4741	0.4793	0.4816	0.4866	0.4839	0.488	0.492	0.4931	0.4974	0.5021
A7	0.0951	0.0923	0.0918	0.0879	0.0909	0.0915	0.09	0.0923	0.0925	0.0907	0.0939	0.0898	0.094	0.0933	0.0912	0.0935	0.097	0.0945	0.0984	0.1044	0.1179	0.1314	0.1527	0.18	0.2114	0.2451	0.2826	0.3257	0.3479	0.3665	0.371	0.3674	0.3664	0.3602	0.3593	0.3627	0.3571	0.3565	0.3596	0.3606	0.3589	0.3602	0.3618	0.3614	0.3614	0.3608	0.3602	0.3625	0.3666	0.3676	0.3664	0.3666	0.3638	0.3678	0.3681	0.3735	0.3768	0.3832	0.3903	0.3897	0.3967	0.4025	0.4051	0.4068	0.4124
A8	0.0915	0.0902	0.0904	0.0887	0.0888	0.0912	0.0924	0.0934	0.0929	0.0954	0.0935	0.0936	0.0924	0.0939	0.0958	0.097	0.0911	0.0957	0.1045	0.1102	0.1158	0.132	0.1531	0.1794	0.2087	0.2504	0.2882	0.3212	0.3515	0.3631	0.3691	0.3714	0.3648	0.3633	0.3617	0.3618	0.36	0.3609	0.3598	0.3643	0.3645	0.3643	0.3649	0.3667	0.3653	0.3661	0.3687	0.37	0.3747	0.3776	0.3774	0.3719	0.3755	0.3739	0.3772	0.3827	0.3882	0.3937	0.3986	0.4019	0.4032	0.4109	0.4119	0.4142	0.4177
