Cycle Nr.	Time (hours)	Time [s]	Temp. [°C]	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1	0	0	24.9	0.088600002	0.0889	0.0911	0.090000004	0.0911	0.092500001	0.089900002	0.090000004	0.090400003	0.0911	0.089400001	0.090099998	0.089400001	0.102399997	0.099600002	0.103799999	0.099699996	0.104400001	0.100299999	0.101800002	0.102899998	0.098800004	0.098399997	0.0889	0.088799998	0.099799998	0.103799999	0.0995	0.100400001	0.108000003	0.102799997	0.104099996	0.101499997	0.100400001	0.101099998	0.089299999	0.089599997	0.103100002	0.105499998	0.101400003	0.101800002	0.115800001	0.108000003	0.107699998	0.101300001	0.099699996	0.099699996	0.089500003	0.090499997	0.106299996	0.101199999	0.101599999	0.103500001	0.1021	0.108199999	0.103	0.101300001	0.102300003	0.103500001	0.088500001	0.090700001	0.100400001	0.101000004	0.101000004	0.1021	0.101199999	0.100100003	0.100599997	0.101099998	0.100000001	0.101199999	0.090000004	0.090400003	0.100900002	0.099699996	0.100299999	0.101999998	0.101400003	0.1008	0.1008	0.100000001	0.100599997	0.100900002	0.089699998	0.093400002	0.094099998	0.0902	0.0911	0.093400002	0.091899998	0.090800002	0.089699998	0.089500003	0.089900002	0.090599999	0.089299999
2	0.091638889	329.9	36.6	0.088600002	0.090099998	0.089900002	0.089900002	0.090999998	0.092200004	0.0898	0.090099998	0.090300001	0.090099998	0.0889	0.090099998	0.089100003	0.101400003	0.099799998	0.102399997	0.099600002	0.104199998	0.100500003	0.101000004	0.102700002	0.098899998	0.098499998	0.088799998	0.088699996	0.0995	0.1039	0.100299999	0.100599997	0.109399997	0.103500001	0.104599997	0.102200001	0.101099998	0.1017	0.089400001	0.089500003	0.100500003	0.105099998	0.104800001	0.102200001	0.113200001	0.115199998	0.101300001	0.106600001	0.100199997	0.100199997	0.089400001	0.090400003	0.106399998	0.101400003	0.101400003	0.103600003	0.101899996	0.108800001	0.102399997	0.101899996	0.102300003	0.104599997	0.088399999	0.090499997	0.100299999	0.101300001	0.101199999	0.102300003	0.101499997	0.100500003	0.1008	0.101199999	0.100299999	0.101099998	0.089900002	0.0902	0.100900002	0.0999	0.100599997	0.102300003	0.101800002	0.101199999	0.101000004	0.100400001	0.1008	0.101199999	0.089599997	0.093199998	0.093999997	0.0898	0.090999998	0.0933	0.092100002	0.090700001	0.089599997	0.089299999	0.089400001	0.090700001	0.089299999
3	0.183277778	659.8	36.6	0.088500001	0.088699996	0.090000004	0.089900002	0.090999998	0.092100002	0.089699998	0.090099998	0.090099998	0.0902	0.089000002	0.090000004	0.089400001	0.099200003	0.098300003	0.102399997	0.100299999	0.104699999	0.101000004	0.101499997	0.103100002	0.099299997	0.098999999	0.088799998	0.088600002	0.0986	0.102799997	0.100699998	0.101300001	0.109399997	0.104500003	0.105499998	0.102300003	0.101300001	0.1017	0.089599997	0.090099998	0.0977	0.103200004	0.102200001	0.101999998	0.1039	0.107199997	0.102300003	0.103600003	0.101300001	0.100599997	0.089400001	0.090400003	0.1052	0.100500003	0.102399997	0.104500003	0.1039	0.109200001	0.103200004	0.103200004	0.103299998	0.1061	0.088500001	0.090400003	0.099299997	0.1008	0.1017	0.103100002	0.102799997	0.101300001	0.101599999	0.1021	0.101000004	0.101999998	0.090000004	0.0902	0.100000001	0.099600002	0.101400003	0.103100002	0.102499999	0.101999998	0.101499997	0.101300001	0.103399999	0.101999998	0.089599997	0.093199998	0.0942	0.0898	0.090899996	0.092799999	0.091899998	0.090599999	0.090099998	0.089400001	0.089500003	0.090999998	0.089599997
4	0.274916667	989.7	36.7	0.088399999	0.089299999	0.089699998	0.0898	0.090800002	0.092299998	0.0898	0.090000004	0.090300001	0.0898	0.088799998	0.089900002	0.089900002	0.095600002	0.094800003	0.100500003	0.100400001	0.105300002	0.1017	0.102300003	0.103799999	0.100100003	0.100000001	0.088600002	0.088500001	0.093599997	0.098499998	0.097999997	0.101099998	0.107600003	0.105099998	0.105400003	0.102700002	0.101599999	0.109999999	0.089400001	0.090400003	0.093500003	0.098999999	0.099299997	0.1021	0.104699999	0.102399997	0.114100002	0.104900002	0.101800002	0.1017	0.089500003	0.0902	0.101599999	0.096600004	0.0999	0.104900002	0.103799999	0.109999999	0.1039	0.104199998	0.104199998	0.1052	0.088399999	0.090300001	0.097199999	0.097800002	0.100199997	0.103500001	0.103100002	0.101999998	0.102399997	0.102799997	0.101999998	0.103100002	0.089900002	0.0902	0.097199999	0.096799999	0.100100003	0.103699997	0.103299998	0.102799997	0.102700002	0.1021	0.102700002	0.103299998	0.089299999	0.093000002	0.093800001	0.0898	0.090899996	0.093400002	0.091899998	0.090400003	0.0902	0.089199997	0.089400001	0.090800002	0.089599997
5	0.366583333	1319.7	36.9	0.088299997	0.088799998	0.089599997	0.089699998	0.090800002	0.092399999	0.089699998	0.089900002	0.0902	0.089900002	0.0889	0.089900002	0.089000002	0.096500002	0.092399999	0.097099997	0.098999999	0.105700001	0.102899998	0.103399999	0.104699999	0.101300001	0.101199999	0.088600002	0.088500001	0.092699997	0.095200002	0.094599999	0.0995	0.108800001	0.106299996	0.106799997	0.103600003	0.103100002	0.110799998	0.089299999	0.089299999	0.092100002	0.0955	0.095899999	0.100599997	0.103	0.103	0.102499999	0.104000002	0.102600001	0.103100002	0.089500003	0.0902	0.099399999	0.093999997	0.096199997	0.103	0.104599997	0.112300001	0.104800001	0.104599997	0.105599999	0.106700003	0.088200003	0.090300001	0.093800001	0.094899997	0.096199997	0.102799997	0.104099996	0.103100002	0.103500001	0.104099996	0.103	0.104500003	0.089900002	0.0902	0.094899997	0.094300002	0.095799997	0.102799997	0.104500003	0.103699997	0.104000002	0.103299998	0.104099996	0.105099998	0.089500003	0.093199998	0.093800001	0.0898	0.090700001	0.092900001	0.091499999	0.090499997	0.089900002	0.089199997	0.089299999	0.090700001	0.089699998
6	0.458222222	1649.6	37.5	0.088799998	0.089000002	0.090000004	0.089900002	0.090800002	0.092399999	0.0898	0.0902	0.090700001	0.090400003	0.089000002	0.089699998	0.089100003	0.095700003	0.093099996	0.096000001	0.096500002	0.104199998	0.104199998	0.105300002	0.106399998	0.103399999	0.103600003	0.088600002	0.088500001	0.091700003	0.093800001	0.091600001	0.096699998	0.1087	0.107600003	0.108800001	0.1052	0.105499998	0.109800003	0.089400001	0.089400001	0.092699997	0.095100001	0.092799999	0.097499996	0.103600003	0.107699998	0.106399998	0.111599997	0.104999997	0.105300002	0.089500003	0.0902	0.0986	0.0933	0.093800001	0.099299997	0.105800003	0.116499998	0.106200002	0.106399998	0.107699998	0.109399997	0.088600002	0.090499997	0.0933	0.093900003	0.093999997	0.0986	0.105300002	0.104900002	0.105400003	0.105800003	0.104999997	0.106899999	0.089900002	0.090400003	0.093999997	0.093000002	0.093900003	0.098999999	0.105400003	0.105400003	0.105499998	0.104999997	0.105899997	0.107299998	0.089699998	0.093199998	0.093999997	0.0898	0.090700001	0.093000002	0.091600001	0.090599999	0.0898	0.089100003	0.089400001	0.090599999	0.089699998
7	0.549861111	1979.5	37.3	0.090099998	0.089100003	0.089900002	0.089900002	0.090700001	0.092399999	0.089699998	0.090000004	0.090300001	0.089900002	0.0889	0.089900002	0.090800002	0.0955	0.090800002	0.097999997	0.095299996	0.101599999	0.105300002	0.107600003	0.108800001	0.105800003	0.1065	0.088600002	0.088600002	0.091399997	0.094400004	0.090300001	0.094999999	0.105400003	0.108900003	0.110399999	0.107299998	0.107900001	0.118600003	0.089199997	0.089299999	0.092100002	0.095700003	0.0933	0.094999999	0.098999999	0.110399999	0.106700003	0.107900001	0.107699998	0.108099997	0.089400001	0.0902	0.098800004	0.094400004	0.092699997	0.096299998	0.105899997	0.1162	0.108800001	0.1087	0.109800003	0.112400003	0.088399999	0.090300001	0.092699997	0.0933	0.093199998	0.096000001	0.105700001	0.106899999	0.107500002	0.108099997	0.1074	0.1105	0.0898	0.090400003	0.093500003	0.092699997	0.093199998	0.096000001	0.105899997	0.107500002	0.107900001	0.107500002	0.108400002	0.1105	0.089500003	0.093199998	0.0942	0.089900002	0.090800002	0.092699997	0.091499999	0.090499997	0.089900002	0.089199997	0.089500003	0.090499997	0.089699998
8	0.6415	2309.4	37.2	0.088399999	0.089100003	0.0898	0.089900002	0.090800002	0.092500001	0.089699998	0.090099998	0.090300001	0.0898	0.088699996	0.089900002	0.089599997	0.094300002	0.090700001	0.0942	0.093800001	0.100400001	0.1052	0.110299997	0.111900002	0.109099999	0.1105	0.088600002	0.088500001	0.090599999	0.094099998	0.091799997	0.094400004	0.103500001	0.110299997	0.1127	0.110699996	0.110399999	0.120200001	0.089400001	0.089199997	0.091300003	0.095600002	0.093500003	0.095399998	0.096500002	0.107000001	0.1109	0.1109	0.1109	0.112099998	0.089400001	0.0902	0.098800004	0.094599999	0.094700001	0.096199997	0.105099998	0.118500002	0.111400001	0.112400003	0.112400003	0.115900002	0.088399999	0.090300001	0.092399999	0.092699997	0.092799999	0.094499998	0.104000002	0.109499998	0.110699996	0.110699996	0.110399999	0.113600001	0.0898	0.090599999	0.093099996	0.091899998	0.092500001	0.094700001	0.104099996	0.110100001	0.110299997	0.110399999	0.111299999	0.114100002	0.089299999	0.092900001	0.093699999	0.0898	0.090800002	0.092500001	0.091700003	0.090400003	0.089599997	0.089000002	0.089400001	0.090599999	0.089500003
9	0.733138889	2639.3	37.1	0.088299997	0.089000002	0.089699998	0.089900002	0.090700001	0.092500001	0.089699998	0.089900002	0.090300001	0.089900002	0.088799998	0.0898	0.089199997	0.092900001	0.090499997	0.093599997	0.093900003	0.0995	0.104999997	0.114	0.115900002	0.113499999	0.115599997	0.088500001	0.088500001	0.090899996	0.094700001	0.091700003	0.094899997	0.104400001	0.1074	0.116999999	0.114799999	0.114500001	0.120899998	0.089299999	0.089299999	0.091700003	0.094899997	0.093099996	0.095299996	0.097000003	0.105400003	0.114100002	0.114799999	0.115199998	0.116800003	0.089400001	0.090099998	0.097499996	0.093999997	0.093199998	0.099799998	0.101199999	0.123400003	0.114600003	0.115500003	0.116599999	0.120999999	0.0889	0.090300001	0.091799997	0.092200004	0.092399999	0.093900003	0.101899996	0.112300001	0.113300003	0.114	0.113899998	0.117899999	0.0898	0.090499997	0.092799999	0.091799997	0.092299998	0.0942	0.1021	0.112800002	0.113499999	0.113700002	0.115000002	0.118900001	0.089400001	0.093099996	0.093800001	0.0898	0.090800002	0.092399999	0.091600001	0.090499997	0.091600001	0.089199997	0.089100003	0.090400003	0.089400001
10	0.824777778	2969.2	37.7	0.088299997	0.0902	0.091600001	0.089900002	0.090599999	0.092699997	0.089400001	0.0902	0.090099998	0.090099998	0.088799998	0.090099998	0.089000002	0.093699999	0.090400003	0.093800001	0.092100002	0.098499998	0.105499998	0.118699998	0.1206	0.119000003	0.122000001	0.088500001	0.088500001	0.090400003	0.094999999	0.092500001	0.093800001	0.1052	0.114200003	0.120800003	0.119199999	0.119099997	0.125300005	0.089400001	0.089299999	0.090999998	0.095700003	0.093199998	0.094300002	0.0973	0.105300002	0.1171	0.119199999	0.119900003	0.122599997	0.089299999	0.090099998	0.098899998	0.094700001	0.092799999	0.098499998	0.099100001	0.126000002	0.118900001	0.120099999	0.121600002	0.126699999	0.088600002	0.090300001	0.091499999	0.092	0.091799997	0.093400002	0.100100003	0.115199998	0.116899997	0.118000001	0.1184	0.123400003	0.089699998	0.090400003	0.092399999	0.091200002	0.091799997	0.093699999	0.100100003	0.115599997	0.1171	0.117799997	0.119400002	0.124499999	0.089299999	0.093000002	0.093699999	0.089900002	0.090400003	0.092500001	0.091499999	0.090499997	0.089400001	0.089100003	0.088799998	0.090599999	0.089299999
