Seconds	Temp	Well	OD600	Row	Column	Induced	Imipenem	followup	Organism
0	34.6 °C	B2	0.096	B	2	FALSE	0	Moved to Second Competition	E. coli
312	36.4 °C	B2	0.104	B	2	FALSE	0	Moved to Second Competition	E. coli
625	36.5 °C	B2	0.104	B	2	FALSE	0	Moved to Second Competition	E. coli
937	36.9 °C	B2	0.108	B	2	FALSE	0	Moved to Second Competition	E. coli
1250	36.8 °C	B2	0.111	B	2	FALSE	0	Moved to Second Competition	E. coli
1562	36.8 °C	B2	0.115	B	2	FALSE	0	Moved to Second Competition	E. coli
1875	36.7 °C	B2	0.119	B	2	FALSE	0	Moved to Second Competition	E. coli
2187	36.8 °C	B2	0.125	B	2	FALSE	0	Moved to Second Competition	E. coli
2500	36.7 °C	B2	0.132	B	2	FALSE	0	Moved to Second Competition	E. coli
2812	36.8 °C	B2	0.141	B	2	FALSE	0	Moved to Second Competition	E. coli
3125	36.8 °C	B2	0.15	B	2	FALSE	0	Moved to Second Competition	E. coli
3437	36.7 °C	B2	0.161	B	2	FALSE	0	Moved to Second Competition	E. coli
3749	36.8 °C	B2	0.174	B	2	FALSE	0	Moved to Second Competition	E. coli
4062	36.8 °C	B2	0.189	B	2	FALSE	0	Moved to Second Competition	E. coli
4374	36.8 °C	B2	0.204	B	2	FALSE	0	Moved to Second Competition	E. coli
4687	36.8 °C	B2	0.222	B	2	FALSE	0	Moved to Second Competition	E. coli
4999	36.8 °C	B2	0.231	B	2	FALSE	0	Moved to Second Competition	E. coli
5311	36.8 °C	B2	0.25	B	2	FALSE	0	Moved to Second Competition	E. coli
5624	36.7 °C	B2	0.267	B	2	FALSE	0	Moved to Second Competition	E. coli
5936	36.8 °C	B2	0.292	B	2	FALSE	0	Moved to Second Competition	E. coli
6249	36.8 °C	B2	0.318	B	2	FALSE	0	Moved to Second Competition	E. coli
6561	36.7 °C	B2	0.349	B	2	FALSE	0	Moved to Second Competition	E. coli
6873	36.8 °C	B2	0.388	B	2	FALSE	0	Moved to Second Competition	E. coli
7186	36.8 °C	B2	0.418	B	2	FALSE	0	Moved to Second Competition	E. coli
7498	36.8 °C	B2	0.442	B	2	FALSE	0	Moved to Second Competition	E. coli
7811	36.7 °C	B2	0.47	B	2	FALSE	0	Moved to Second Competition	E. coli
8123	36.7 °C	B2	0.502	B	2	FALSE	0	Moved to Second Competition	E. coli
8435	36.8 °C	B2	0.522	B	2	FALSE	0	Moved to Second Competition	E. coli
8748	36.9 °C	B2	0.544	B	2	FALSE	0	Moved to Second Competition	E. coli
9060	36.7 °C	B2	0.57	B	2	FALSE	0	Moved to Second Competition	E. coli
9372	36.7 °C	B2	0.592	B	2	FALSE	0	Moved to Second Competition	E. coli
9685	36.8 °C	B2	0.612	B	2	FALSE	0	Moved to Second Competition	E. coli
9997	36.9 °C	B2	0.634	B	2	FALSE	0	Moved to Second Competition	E. coli
10309	36.7 °C	B2	0.659	B	2	FALSE	0	Moved to Second Competition	E. coli
10622	36.7 °C	B2	0.686	B	2	FALSE	0	Moved to Second Competition	E. coli
10934	36.8 °C	B2	0.716	B	2	FALSE	0	Moved to Second Competition	E. coli
11246	36.8 °C	B2	0.743	B	2	FALSE	0	Moved to Second Competition	E. coli
11558	36.7 °C	B2	0.763	B	2	FALSE	0	Moved to Second Competition	E. coli
11871	36.7 °C	B2	0.782	B	2	FALSE	0	Moved to Second Competition	E. coli
12183	36.8 °C	B2	0.799	B	2	FALSE	0	Moved to Second Competition	E. coli
12495	36.7 °C	B2	0.817	B	2	FALSE	0	Moved to Second Competition	E. coli
12808	36.7 °C	B2	0.831	B	2	FALSE	0	Moved to Second Competition	E. coli
13120	36.9 °C	B2	0.846	B	2	FALSE	0	Moved to Second Competition	E. coli
13432	36.8 °C	B2	0.861	B	2	FALSE	0	Moved to Second Competition	E. coli
13745	36.7 °C	B2	0.874	B	2	FALSE	0	Moved to Second Competition	E. coli
14057	36.8 °C	B2	0.888	B	2	FALSE	0	Moved to Second Competition	E. coli
14370	36.7 °C	B2	0.9	B	2	FALSE	0	Moved to Second Competition	E. coli
