Chemical	cJMP	Unit	Date	Well	Organism	Media	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-22	A1	0	LB	0	FALSE	1	0	0.084	sunrise
none	0		2022-03-22	A2	0	LB	0	FALSE	9	0	0.082	sunrise
none	0		2022-03-22	A3	5123	LB	0	FALSE	1	0	0.115	sunrise
none	0		2022-03-22	A4	5123	LB	0	FALSE	9	0	0.142	sunrise
none	0		2022-03-22	A5	5144	LB	0	FALSE	1	0	0.098	sunrise
none	0		2022-03-22	A6	5144	LB	0	FALSE	9	0	0.096	sunrise
none	0		2022-03-22	A7	0	EZ	0	FALSE	1	0	0.087	sunrise
none	0		2022-03-22	A8	0	EZ	0	FALSE	9	0	0.092	sunrise
none	0		2022-03-22	A9	5123	EZ	0	FALSE	1	0	0.109	sunrise
none	0		2022-03-22	A10	5123	EZ	0	FALSE	9	0	0.11	sunrise
none	0		2022-03-22	A11	5144	EZ	0	FALSE	1	0	0.107	sunrise
none	0		2022-03-22	A12	5144	EZ	0	FALSE	9	0	0.117	sunrise
none	0		2022-03-22	B1	0	LB	0	FALSE	2	0	0.085	sunrise
none	0		2022-03-22	B2	0	LB	0	FALSE	10	0	0.083	sunrise
none	0		2022-03-22	B3	5123	LB	0	FALSE	2	0	0.096	sunrise
none	0		2022-03-22	B4	5123	LB	0	FALSE	10	0	0.096	sunrise
none	0		2022-03-22	B5	5144	LB	0	FALSE	2	0	0.098	sunrise
none	0		2022-03-22	B6	5144	LB	0	FALSE	10	0	0.096	sunrise
none	0		2022-03-22	B7	0	EZ	0	FALSE	2	0	0.094	sunrise
none	0		2022-03-22	B8	0	EZ	0	FALSE	10	0	0.093	sunrise
none	0		2022-03-22	B9	5123	EZ	0	FALSE	2	0	0.104	sunrise
none	0		2022-03-22	B10	5123	EZ	0	FALSE	10	0	0.109	sunrise
none	0		2022-03-22	B11	5144	EZ	0	FALSE	2	0	0.105	sunrise
none	0		2022-03-22	B12	5144	EZ	0	FALSE	10	0	0.111	sunrise
none	0		2022-03-22	C1	0	LB	0	FALSE	3	0	0.083	sunrise
none	0		2022-03-22	C2	0	LB	0	FALSE	11	0	0.085	sunrise
none	0		2022-03-22	C3	5123	LB	0	FALSE	3	0	0.097	sunrise
none	0		2022-03-22	C4	5123	LB	0	FALSE	11	0	0.096	sunrise
none	0		2022-03-22	C5	5144	LB	0	FALSE	3	0	0.099	sunrise
none	0		2022-03-22	C6	5144	LB	0	FALSE	11	0	0.098	sunrise
none	0		2022-03-22	C7	0	EZ	0	FALSE	3	0	0.084	sunrise
none	0		2022-03-22	C8	0	EZ	0	FALSE	11	0	0.083	sunrise
none	0		2022-03-22	C9	5123	EZ	0	FALSE	3	0	0.107	sunrise
none	0		2022-03-22	C10	5123	EZ	0	FALSE	11	0	0.107	sunrise
none	0		2022-03-22	C11	5144	EZ	0	FALSE	3	0	0.11	sunrise
none	0		2022-03-22	C12	5144	EZ	0	FALSE	11	0	0.11	sunrise
none	0		2022-03-22	D1	0	LB	0	FALSE	4	0	0.084	sunrise
none	0		2022-03-22	D2	0	LB	0	FALSE	12	0	0.084	sunrise
none	0		2022-03-22	D3	5123	LB	0	FALSE	4	0	0.098	sunrise
none	0		2022-03-22	D4	5123	LB	0	FALSE	12	0	0.096	sunrise
none	0		2022-03-22	D5	5144	LB	0	FALSE	4	0	0.099	sunrise
none	0		2022-03-22	D6	5144	LB	0	FALSE	12	0	0.097	sunrise
none	0		2022-03-22	D7	0	EZ	0	FALSE	4	0	0.087	sunrise
none	0		2022-03-22	D8	0	EZ	0	FALSE	12	0	0.089	sunrise
none	0		2022-03-22	D9	5123	EZ	0	FALSE	4	0	0.106	sunrise
none	0		2022-03-22	D10	5123	EZ	0	FALSE	12	0	0.106	sunrise
none	0		2022-03-22	D11	5144	EZ	0	FALSE	4	0	0.105	sunrise
none	0		2022-03-22	D12	5144	EZ	0	FALSE	12	0	0.109	sunrise
none	0		2022-03-22	E1	0	LB	0	FALSE	5	0	0.105	sunrise
none	0		2022-03-22	E2	0	LB	0	FALSE	13	0	0.085	sunrise
none	0		2022-03-22	E3	5123	LB	0	FALSE	5	0	0.099	sunrise
none	0		2022-03-22	E4	5123	LB	0	FALSE	13	0	0.096	sunrise
none	0		2022-03-22	E5	5144	LB	0	FALSE	5	0	0.101	sunrise
none	0		2022-03-22	E6	5144	LB	0	FALSE	13	0	0.098	sunrise
none	0		2022-03-22	E7	0	EZ	0	FALSE	5	0	0.09	sunrise
none	0		2022-03-22	E8	0	EZ	0	FALSE	13	0	0.088	sunrise
none	0		2022-03-22	E9	5123	EZ	0	FALSE	5	0	0.11	sunrise
none	0		2022-03-22	E10	5123	EZ	0	FALSE	13	0	0.106	sunrise
none	0		2022-03-22	E11	5144	EZ	0	FALSE	5	0	0.102	sunrise
none	0		2022-03-22	E12	5144	EZ	0	FALSE	13	0	0.109	sunrise
none	0		2022-03-22	F1	0	LB	0	FALSE	6	0	0.117	sunrise
none	0		2022-03-22	F2	0	LB	0	FALSE	14	0	0.085	sunrise
none	0		2022-03-22	F3	5123	LB	0	FALSE	6	0	0.097	sunrise
none	0		2022-03-22	F4	5123	LB	0	FALSE	14	0	0.096	sunrise
