Chemical	cJMP	Unit	Date	Well	Organism	Dose	Induced	Rep	Time	OD600	Media	Instrument
none	0		2022-04-07	A1	5147	0	0	1	0	0.092	EZ	icontrol
none	0		2022-04-07	A2	5147	0	0	9	0	0.0904	EZ	icontrol
none	0		2022-04-07	A3	5142	0	0	1	0	0.0964	EZ	icontrol
none	0		2022-04-07	A4	5142	0	0	9	0	0.0919	EZ	icontrol
none	0		2022-04-07	A5	5123	0	0	1	0	0.0884	EZ	icontrol
none	0		2022-04-07	A6	5123	0	0	9	0	0.0937	EZ	icontrol
none	0		2022-04-07	A7	5144	0	0	1	0	0.0951	EZ	icontrol
none	0		2022-04-07	A8	5144	0	0	9	0	0.0915	EZ	icontrol
none	0		2022-04-07	A9	5133	0	0	1	0	0.0964	EZ	icontrol
none	0		2022-04-07	A10	5133	0	0	9	0	0.0903	EZ	icontrol
none	0		2022-04-07	A11	5146	0	0	1	0	0.0904	EZ	icontrol
none	0		2022-04-07	A12	5146	0	0	9	0	0.0887	EZ	icontrol
none	0		2022-04-07	B1	5147	0	0	2	0	0.0951	EZ	icontrol
none	0		2022-04-07	B2	5147	0	0	10	0	0.0924	EZ	icontrol
none	0		2022-04-07	B3	5142	0	0	2	0	0.0903	EZ	icontrol
none	0		2022-04-07	B4	5142	0	0	10	0	0.096	EZ	icontrol
none	0		2022-04-07	B5	5123	0	0	2	0	0.0936	EZ	icontrol
none	0		2022-04-07	B6	5123	0	0	10	0	0.0925	EZ	icontrol
none	0		2022-04-07	B7	5144	0	0	2	0	0.09	EZ	icontrol
none	0		2022-04-07	B8	5144	0	0	10	0	0.0932	EZ	icontrol
none	0		2022-04-07	B9	5133	0	0	2	0	0.0883	EZ	icontrol
none	0		2022-04-07	B10	5133	0	0	10	0	0.0957	EZ	icontrol
none	0		2022-04-07	B11	5146	0	0	2	0	0.0851	EZ	icontrol
none	0		2022-04-07	B12	5146	0	0	10	0	0.0893	EZ	icontrol
none	0		2022-04-07	C1	5147	0	0	3	0	0.0949	EZ	icontrol
none	0		2022-04-07	C2	5147	0	0	11	0	0.094	EZ	icontrol
none	0		2022-04-07	C3	5142	0	0	3	0	0.0906	EZ	icontrol
none	0		2022-04-07	C4	5142	0	0	11	0	0.0915	EZ	icontrol
none	0		2022-04-07	C5	5123	0	0	3	0	0.0913	EZ	icontrol
none	0		2022-04-07	C6	5123	0	0	11	0	0.0907	EZ	icontrol
none	0		2022-04-07	C7	5144	0	0	3	0	0.0952	EZ	icontrol
none	0		2022-04-07	C8	5144	0	0	11	0	0.093	EZ	icontrol
none	0		2022-04-07	C9	5133	0	0	3	0	0.0898	EZ	icontrol
none	0		2022-04-07	C10	5133	0	0	11	0	0.0998	EZ	icontrol
none	0		2022-04-07	C11	5146	0	0	3	0	0.091	EZ	icontrol
none	0		2022-04-07	C12	5146	0	0	11	0	0.107	EZ	icontrol
none	0		2022-04-07	D1	5147	0	0	4	0	0.0929	EZ	icontrol
none	0		2022-04-07	D2	5147	0	0	12	0	0.0923	EZ	icontrol
none	0		2022-04-07	D3	5142	0	0	4	0	0.0924	EZ	icontrol
none	0		2022-04-07	D4	5142	0	0	12	0	0.0951	EZ	icontrol
none	0		2022-04-07	D5	5123	0	0	4	0	0.0961	EZ	icontrol
none	0		2022-04-07	D6	5123	0	0	12	0	0.0918	EZ	icontrol
none	0		2022-04-07	D7	5144	0	0	4	0	0.0953	EZ	icontrol
none	0		2022-04-07	D8	5144	0	0	12	0	0.0932	EZ	icontrol
none	0		2022-04-07	D9	5133	0	0	4	0	0.0936	EZ	icontrol
none	0		2022-04-07	D10	5133	0	0	12	0	0.0902	EZ	icontrol
none	0		2022-04-07	D11	5146	0	0	4	0	0.0883	EZ	icontrol
none	0		2022-04-07	D12	5146	0	0	12	0	0.0947	EZ	icontrol
none	0		2022-04-07	E1	5147	0	0	5	0	0.0942	EZ	icontrol
none	0		2022-04-07	E2	5147	0	0	13	0	0.0953	EZ	icontrol
none	0		2022-04-07	E3	5142	0	0	5	0	0.0923	EZ	icontrol
none	0		2022-04-07	E4	5142	0	0	13	0	0.0907	EZ	icontrol
none	0		2022-04-07	E5	5123	0	0	5	0	0.0929	EZ	icontrol
none	0		2022-04-07	E6	5123	0	0	13	0	0.0955	EZ	icontrol
none	0		2022-04-07	E7	5144	0	0	5	0	0.1011	EZ	icontrol
none	0		2022-04-07	E8	5144	0	0	13	0	0.094	EZ	icontrol
none	0		2022-04-07	E9	5133	0	0	5	0	0.0896	EZ	icontrol
none	0		2022-04-07	E10	5133	0	0	13	0	0.0909	EZ	icontrol
none	0		2022-04-07	E11	5146	0	0	5	0	0.3099	EZ	icontrol
none	0		2022-04-07	E12	5146	0	0	13	0	0.097	EZ	icontrol
none	0		2022-04-07	F1	5147	0	0	6	0	0.0947	EZ	icontrol
none	0		2022-04-07	F2	5147	0	0	14	0	0.0922	EZ	icontrol
none	0		2022-04-07	F3	5142	0	0	6	0	0.0953	EZ	icontrol
