well	org	drug	induced	rep	dose	units	date
A1	5111	none	FALSE	1	NA	NA	2022-03-11
B1	5111	none	FALSE	2	NA	NA	2022-03-11
C1	5111	none	FALSE	3	NA	NA	2022-03-11
D1	5111	none	FALSE	4	NA	NA	2022-03-11
E1	5111	none	TRUE	1	NA	NA	2022-03-11
F1	5111	none	TRUE	2	NA	NA	2022-03-11
G1	5111	none	TRUE	3	NA	NA	2022-03-11
H1	5111	none	TRUE	4	NA	NA	2022-03-11
A2	5111	ampicillin	FALSE	1	4	ug/mL	2022-03-11
B2	5111	ampicillin	FALSE	2	4	ug/mL	2022-03-11
C2	5111	ampicillin	FALSE	3	4	ug/mL	2022-03-11
D2	5111	ampicillin	FALSE	4	4	ug/mL	2022-03-11
E2	5111	ampicillin	TRUE	1	4	ug/mL	2022-03-11
F2	5111	ampicillin	TRUE	2	4	ug/mL	2022-03-11
G2	5111	ampicillin	TRUE	3	4	ug/mL	2022-03-11
H2	5111	ampicillin	TRUE	4	4	ug/mL	2022-03-11
A3	5111	mecillinam	FALSE	1	120	ng/mL	2022-03-11
B3	5111	mecillinam	FALSE	2	120	ng/mL	2022-03-11
C3	5111	mecillinam	FALSE	3	120	ng/mL	2022-03-11
D3	5111	mecillinam	FALSE	4	120	ng/mL	2022-03-11
E3	5111	mecillinam	TRUE	1	120	ng/mL	2022-03-11
F3	5111	mecillinam	TRUE	2	120	ng/mL	2022-03-11
G3	5111	mecillinam	TRUE	3	120	ng/mL	2022-03-11
H3	5111	mecillinam	TRUE	4	120	ng/mL	2022-03-11
A4	5111	novobiocin	FALSE	1	120	ug/mL	2022-03-11
B4	5111	novobiocin	FALSE	2	120	ug/mL	2022-03-11
C4	5111	novobiocin	FALSE	3	120	ug/mL	2022-03-11
D4	5111	novobiocin	FALSE	4	120	ug/mL	2022-03-11
E4	5111	novobiocin	TRUE	1	120	ug/mL	2022-03-11
F4	5111	novobiocin	TRUE	2	120	ug/mL	2022-03-11
G4	5111	novobiocin	TRUE	3	120	ug/mL	2022-03-11
H4	5111	novobiocin	TRUE	4	120	ug/mL	2022-03-11
A5	5111	urea	FALSE	1	100	mM	2022-03-11
B5	5111	urea	FALSE	2	100	mM	2022-03-11
C5	5111	urea	FALSE	3	100	mM	2022-03-11
D5	5111	urea	FALSE	4	100	mM	2022-03-11
E5	5111	urea	TRUE	1	100	mM	2022-03-11
F5	5111	urea	TRUE	2	100	mM	2022-03-11
G5	5111	urea	TRUE	3	100	mM	2022-03-11
H5	5111	urea	TRUE	4	100	mM	2022-03-11
A6	5111	vancomycin	FALSE	1	50	ug/mL	2022-03-11
B6	5111	vancomycin	FALSE	2	50	ug/mL	2022-03-11
