operon	locus_tag
hrpA	b1413
flhDC	b1891
flhDC	b1892
dgcJ	b1786
dgt	b0160
livKHMGF	b3454
livKHMGF	b3455
livKHMGF	b3456
livKHMGF	b3457
livKHMGF	b3458
ispG-sroE	b2515
ispG-sroE	b4761
lrp	b0889
yqeH	b2846
phnLMNOP	b4092
phnLMNOP	b4093
phnLMNOP	b4094
phnLMNOP	b4095
phnLMNOP	b4096
mpl	b4233
ymdF	b4518
rsmE-gshB	b2947
rsmE-gshB	b2946
kdgT	b3909
cyaR	b4438
pspABCDE	b1304
pspABCDE	b1305
pspABCDE	b1306
pspABCDE	b1307
pspABCDE	b1308
hslR-hslO	b3401
hslR-hslO	b3400
rrsG-gltW-rrlG-rrfG	b2588
rrsG-gltW-rrlG-rrfG	b2589
rrsG-gltW-rrlG-rrfG	b2590
rrsG-gltW-rrlG-rrfG	b2591
aroL-yaiA-aroM	b0388
aroL-yaiA-aroM	b0389
aroL-yaiA-aroM	b0390
cdh	b3918
gltX	b2400
ltaE-ybjT	b0869
ltaE-ybjT	b0870
ymfJ	b1144
aspU	b0206
mscK	b0465
exoD	b0539
ssuEADCB	b0933
ssuEADCB	b0934
ssuEADCB	b0935
ssuEADCB	b0936
ssuEADCB	b0937
sfmCD	b0532
sfmCD	b0531
sraA	""
yedI	b1958
yaeR	b0187
cbrC	b3717
hemF	b2436
pyrH	b0171
fur	b0683
ydgJ	b1624
ryeA	b4432
btsSR	b2126
btsSR	b2125
mepS	b2175
trkG	b1363
alaE	b2670
ybgC-tolQRA	b0736
ybgC-tolQRA	b0737
ybgC-tolQRA	b0738
ybgC-tolQRA	b0739
caiTABCDE	b0035
caiTABCDE	b0036
caiTABCDE	b0037
caiTABCDE	b0038
caiTABCDE	b0039
caiTABCDE	b0040
glnB	b2553
ydiL	b1689
micF	b4439
rybB	b4417
miaA-hfq-hflXKC	b4175
miaA-hfq-hflXKC	b4174
miaA-hfq-hflXKC	b4173
miaA-hfq-hflXKC	b4172
miaA-hfq-hflXKC	b4171
kbl-tdh	b3616
kbl-tdh	b3617
zinT	b1973
aspX	b4825
yheSTU	b3354
yheSTU	b3353
yheSTU	b3352
ygfK-ssnA	b2879
ygfK-ssnA	b2878
pqqL	b1494
hokB	b4428
rfbBDACX	b2037
rfbBDACX	b2038
rfbBDACX	b2039
rfbBDACX	b2040
rfbBDACX	b2041
ycgZ-ymgA-ariR-ymgC	b1167
ycgZ-ymgA-ariR-ymgC	b1166
ycgZ-ymgA-ariR-ymgC	b1165
ycgZ-ymgA-ariR-ymgC	b1164
yrhC	b4552
csgDEFG	b1037
csgDEFG	b1038
csgDEFG	b1039
csgDEFG	b1040
yhbP	b3154
ydeJ	b1537
yaiP	b0363
putP	b1015
abrB	b0715
mnt-btuF-yadS	b0159
mnt-btuF-yadS	b0158
mnt-btuF-yadS	b0157
gabDTP	b2663
gabDTP	b2662
gabDTP	b2661
glsB-yneG	b1524
glsB-yneG	b1523
ykfC	b0258
hisBHAFI	b2026
hisBHAFI	b2025
hisBHAFI	b2024
hisBHAFI	b2023
hisBHAFI	b2022
pstSCAB-phoU	b3724
pstSCAB-phoU	b3725
pstSCAB-phoU	b3726
pstSCAB-phoU	b3727
pstSCAB-phoU	b3728
nlpD-rpoS	b2741
nlpD-rpoS	b2742
gntR	b3438
rhaD	b3902
ygcRQ	b2770
ygcRQ	b2769
ydaGF	b1355
ydaGF	b4527
bolA	b0435
purL	b2557
opgB	b4359
mrr	b4351
xapB	b2406
ydjO	b1730
hipBA	b1507
hipBA	b1508
ygcS	b2771
insQ	b1432
essQ-ydfR-rrrQ-rzpQ	b1556
essQ-ydfR-rrrQ-rzpQ	b1555
essQ-ydfR-rrrQ-rzpQ	b1554
essQ-ydfR-rrrQ-rzpQ	b1553
tdcABCDEFG	b4471
tdcABCDEFG	b3113
tdcABCDEFG	b3114
tdcABCDEFG	b3115
tdcABCDEFG	b3116
tdcABCDEFG	b3117
tdcABCDEFG	b3118
aroP	b0112
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b0251
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b0250
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b0249
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b0248
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b0247
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b4504
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b0246
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	b0245
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0096
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0095
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0094
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0093
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0092
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0091
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0090
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0089
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0088
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0087
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0086
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0085
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0084
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0083
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0082
ydjE	b1769
yahDEFG	b0321
yahDEFG	b0320
yahDEFG	b0319
yahDEFG	b0318
sbmC	b2009
mepH	b1655
recF	b3700
yfaZ	b2250
oxyR	b3961
rseD-rpoE-rseABC	b4725
rseD-rpoE-rseABC	b2570
rseD-rpoE-rseABC	b2571
rseD-rpoE-rseABC	b2572
rseD-rpoE-rseABC	b2573
xanP	b3654
mtfA	b1976
yabPQ	b0057
yabPQ	b0056
pncC	b2700
rfbACX	b2037
rfbACX	b2038
rfbACX	b2039
cydDC	b0886
cydDC	b0887
bglG	b3723
insZ	b4573
iprA	b0375
tpke11	""
yciSM-pyrF-yciH	b1282
yciSM-pyrF-yciH	b1281
yciSM-pyrF-yciH	b1280
yciSM-pyrF-yciH	b1279
yacH	b0117
ligB	b3647
groL	b4143
dctA	b3528
malY	b1622
argO	b2923
ilvLXG_1G_2MEDA	b4669
ilvLXG_1G_2MEDA	b4488
ilvLXG_1G_2MEDA	b3772
ilvLXG_1G_2MEDA	b3771
ilvLXG_1G_2MEDA	b3770
ilvLXG_1G_2MEDA	b3769
ilvLXG_1G_2MEDA	b3766
marC	b1529
ydhF	b1647
cydAB	b0734
cydAB	b0733
ryfA	b4440
ileX	b3069
recET-ralR-rcbA-xisR-intR	b1350
recET-ralR-rcbA-xisR-intR	b1349
recET-ralR-rcbA-xisR-intR	b1348
recET-ralR-rcbA-xisR-intR	b1347
recET-ralR-rcbA-xisR-intR	b1346
recET-ralR-rcbA-xisR-intR	b1345
insMI3	b4561
insMI3	b4284
pepT	b1127
ydbK	b1378
ydjA-selD-topB	b1763
ydjA-selD-topB	b1765
ydjA-selD-topB	b1764
insH-2	b0552
nagA	b0677
tonB	b1252
ydiFO	b1695
ydiFO	b1694
yejK	b2186
yghA	b3003
arcA	b4401
ygdQ	b2832
nudE	b3397
galET	b0758
galET	b0759
ygiN	b3029
greA	b3181
napFDAGHBC-ccmABCDEFGH	b2194
napFDAGHBC-ccmABCDEFGH	b2195
napFDAGHBC-ccmABCDEFGH	b2196
napFDAGHBC-ccmABCDEFGH	b2197
napFDAGHBC-ccmABCDEFGH	b2198
napFDAGHBC-ccmABCDEFGH	b2199
napFDAGHBC-ccmABCDEFGH	b2200
napFDAGHBC-ccmABCDEFGH	b2201
napFDAGHBC-ccmABCDEFGH	b2202
napFDAGHBC-ccmABCDEFGH	b2203
napFDAGHBC-ccmABCDEFGH	b2204
napFDAGHBC-ccmABCDEFGH	b2205
napFDAGHBC-ccmABCDEFGH	b2206
napFDAGHBC-ccmABCDEFGH	b2207
napFDAGHBC-ccmABCDEFGH	b2208
yghX	b4658
pspF	b1303
focA-pflB	b0903
focA-pflB	b0904
mnmE	b3706
gcvB	b4443
ushA	b0480
rnd	b1804
yhdT-panF-prmA	b3257
yhdT-panF-prmA	b3258
yhdT-panF-prmA	b3259
mazEFG	b2781
mazEFG	b2782
mazEFG	b2783
ispDF	b2746
ispDF	b2747
yabI	b0065
argP	b2916
