Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199
Time [s]	0	329.9	659.8	989.8	1319.7	1649.6	1979.5	2309.5	2639.4	2969.3	3299.2	3629.2	3959.1	4289	4618.9	4948.9	5278.8	5608.7	5938.6	6268.6	6598.5	6928.4	7258.3	7588.2	7918.2	8248.1	8578	8907.9	9237.9	9567.8	9897.7	10227.6	10557.5	10887.5	11217.4	11547.3	11877.2	12207.2	12537.1	12867	13196.9	13526.8	13856.8	14186.7	14516.6	14846.6	15176.5	15506.4	15836.3	16166.2	16496.2	16826.1	17156	17485.9	17815.9	18145.8	18475.7	18805.6	19135.5	19465.5	19795.4	20125.3	20455.2	20785.2	21115.1	21445	21774.9	22104.9	22434.8	22764.7	23094.6	23424.6	23754.5	24084.4	24414.3	24744.2	25074.2	25404.1	25734	26063.9	26393.9	26723.8	27053.7	27383.6	27713.5	28043.5	28373.4	28703.3	29033.2	29363.2	29693.1	30023	30352.9	30682.9	31012.8	31342.7	31672.6	32002.5	32332.5	32662.4	32992.3	33322.2	33652.2	33982.1	34312	34641.9	34971.9	35301.8	35631.7	35961.6	36291.5	36621.5	36951.4	37281.3	37611.2	37941.1	38271.1	38601	38930.9	39261.1	39591	39921	40250.9	40580.8	40910.7	41240.6	41570.6	41900.5	42230.4	42560.3	42890.3	43220.2	43550.1	43880	44209.9	44539.9	44869.8	45199.7	45529.6	45859.6	46189.5	46519.4	46849.3	47179.3	47509.2	47839.1	48169	48499	48828.9	49158.8	49488.7	49818.6	50148.5	50478.5	50808.4	51138.3	51468.2	51798.1	52128.1	52458	52787.9	53117.8	53447.8	53777.7	54107.6	54437.6	54767.5	55097.4	55427.3	55757.2	56087.2	56417.1	56747	57077	57406.9	57736.8	58066.7	58396.7	58726.6	59056.5	59386.4	59716.4	60046.3	60376.2	60706.1	61036.1	61366	61695.9	62025.8	62355.7	62685.7	63015.6	63345.5	63675.4	64005.3	64335.3	64665.2	64995.1	65325
Temp. [°C]	24.1	37.4	37.3	37.4	37.5	37.2	37	37.6	37.1	36.8	37.5	37.7	37.7	37.6	36.8	37.2	37.7	37.1	37.3	37.7	37.2	37.8	37.3	37.3	37.6	36.9	37.8	37.4	36.9	37.8	37.4	36.9	37.8	37.6	37.1	37.2	37.8	37.4	37.1	37.5	37.8	37.5	37.1	37.1	37.8	37.5	37.1	37	37.8	37.6	37.2	36.9	37.8	37.7	37.4	37	37.1	37.8	37.6	37.2	36.9	37.6	37.8	37.5	37.2	36.9	37.7	37.8	37.4	37.1	36.8	37.9	37.7	37.4	37.1	37	37.8	37.6	37.2	36.9	37.6	37.8	37.6	37.2	36.9	37.8	37.8	37.4	37.1	36.8	37.8	37.8	37.4	37.1	37	37.8	37.6	37.3	36.9	37.7	37.9	37.6	37.2	36.9	37.6	37.8	37.6	37.2	36.9	37.8	37.8	37.4	37.1	36.8	37.8	37.8	37.4	37.2	36.8	37.8	37.8	37.4	37.1	36.8	37.9	37.7	37.4	37.1	37	37.8	37.6	37.3	36.9	37.6	37.8	37.6	37.2	36.9	37.7	37.8	37.5	37.2	36.9	37.8	37.8	37.4	37.2	36.9	37.8	37.8	37.4	37.1	36.8	37.8	37.7	37.4	37	37.1	37.8	37.6	37.2	36.9	37.7	37.8	37.4	37.1	36.9	37.7	37.8	37.6	37.3	37	37.1	37.8	37.7	37.3	37.1	36.8	37.8	37.7	37.4	37.1	36.8	37.8	37.7	37.4	37.1	37.1	37.8	37.6	37.2	36.9	37.8	37.8	37.4	37.1	37.4	37.8	37.4
A1	0.089599997	0.0898	0.090000004	0.090300001	0.090300001	0.090599999	0.090499997	0.090800002	0.090800002	0.090700001	0.090899996	0.090999998	0.091200002	0.090400003	0.0902	0.090400003	0.0902	0.090300001	0.0902	0.090499997	0.090499997	0.090499997	0.090599999	0.090599999	0.091700003	0.090700001	0.090599999	0.090300001	0.090599999	0.090599999	0.090899996	0.090599999	0.090800002	0.090599999	0.090700001	0.090999998	0.090800002	0.090499997	0.090599999	0.091499999	0.090499997	0.090400003	0.090400003	0.090499997	0.090499997	0.090300001	0.090300001	0.090400003	0.090499997	0.090499997	0.090400003	0.0902	0.090400003	0.091399997	0.090000004	0.089900002	0.089900002	0.090099998	0.0898	0.0898	0.0898	0.089900002	0.090099998	0.089900002	0.089900002	0.089500003	0.089900002	0.091200002	0.089400001	0.0898	0.0898	0.0898	0.0898	0.089599997	0.0898	0.089699998	0.089699998	0.089699998	0.0898	0.089699998	0.090099998	0.089699998	0.089699998	0.0898	0.089699998	0.089900002	0.089500003	0.090099998	0.089599997	0.089699998	0.089599997	0.089500003	0.089500003	0.089500003	0.089299999	0.0898	0.089199997	0.089599997	0.089900002	0.0898	0.089699998	0.0898	0.0898	0.089900002	0.089900002	0.089699998	0.089900002	0.089699998	0.089500003	0.089599997	0.089500003	0.089400001	0.089500003	0.089500003	0.090899996	0.089299999	0.089500003	0.089299999	0.089500003	0.089299999	0.089299999	0.089299999	0.089699998	0.089400001	0.089299999	0.089599997	0.090400003	0.089400001	0.089400001	0.089400001	0.089599997	0.089400001	0.089400001	0.089400001	0.089400001	0.089400001	0.089599997	0.089400001	0.089199997	0.089400001	0.089400001	0.089500003	0.089400001	0.089599997	0.089199997	0.089400001	0.089199997	0.089199997	0.089299999	0.089199997	0.089299999	0.089299999	0.089199997	0.089400001	0.089400001	0.089299999	0.089400001	0.089500003	0.089500003	0.089299999	0.089400001	0.089400001	0.089199997	0.089400001	0.089400001	0.089400001	0.089199997	0.089500003	0.089299999	0.089299999	0.089400001	0.089500003	0.089599997	0.089400001	0.089599997	0.089400001	0.089400001	0.089400001	0.089299999	0.089500003	0.089299999	0.089500003	0.089500003	0.089500003	0.089500003	0.089400001	0.089400001	0.089699998	0.0898	0.0898	0.089699998	0.089500003	0.090000004	0.089900002	0.0898	0.089900002	0.0911	0.089299999	0.0898
A2	0.088399999	0.089199997	0.090300001	0.088699996	0.088699996	0.089000002	0.088500001	0.088399999	0.088	0.088600002	0.087899998	0.087499999	0.088	0.0867	0.086499996	0.086599998	0.086599998	0.086900003	0.086400002	0.087099999	0.086999997	0.086999997	0.087200001	0.087099999	0.087200001	0.087200001	0.086999997	0.086900003	0.087700002	0.087499999	0.087399997	0.087499999	0.087099999	0.087899998	0.0876	0.088100001	0.088	0.087700002	0.087399997	0.087899998	0.087399997	0.087700002	0.087700002	0.088100001	0.088	0.087700002	0.087700002	0.087700002	0.0876	0.087300003	0.087499999	0.087700002	0.087800004	0.087300003	0.087099999	0.086900003	0.086800002	0.0876	0.0867	0.086800002	0.086599998	0.087499999	0.086800002	0.086999997	0.086900003	0.086800002	0.086999997	0.086900003	0.0867	0.086999997	0.086999997	0.0876	0.0876	0.087300003	0.087200001	0.086800002	0.087300003	0.087300003	0.0867	0.086599998	0.087399997	0.086900003	0.086599998	0.086599998	0.0867	0.087099999	0.086599998	0.087300003	0.086900003	0.087300003	0.086999997	0.086499996	0.087399997	0.086300001	0.086999997	0.086800002	0.087300003	0.086400002	0.086800002	0.087700002	0.087300003	0.086800002	0.087399997	0.086999997	0.088699996	0.087800004	0.087700002	0.086999997	0.086999997	0.087300003	0.086900003	0.087200001	0.087800004	0.086900003	0.087499999	0.087200001	0.086999997	0.0876	0.087800004	0.086800002	0.087200001	0.086599998	0.0876	0.087399997	0.087200001	0.087399997	0.086900003	0.087499999	0.0876	0.087399997	0.087300003	0.087800004	0.087399997	0.087300003	0.086999997	0.087499999	0.087800004	0.087200001	0.087300003	0.087499999	0.087200001	0.087700002	0.087700002	0.087899998	0.087499999	0.0876	0.087499999	0.087499999	0.087800004	0.087499999	0.087499999	0.087700002	0.087499999	0.087499999	0.0876	0.087399997	0.0876	0.087800004	0.0876	0.087700002	0.087800004	0.088799998	0.087800004	0.087700002	0.088100001	0.088100001	0.087800004	0.087700002	0.087499999	0.087700002	0.0876	0.087899998	0.088200003	0.0876	0.087899998	0.088100001	0.089199997	0.087800004	0.088100001	0.087899998	0.087899998	0.088299997	0.088100001	0.087899998	0.087800004	0.088	0.088	0.088100001	0.087700002	0.088100001	0.087700002	0.087800004	0.088200003	0.089199997	0.088299997	0.088299997	0.088200003	0.088100001	0.088399999
A3	0.089699998	0.089900002	0.089599997	0.089199997	0.090099998	0.090000004	0.089400001	0.090499997	0.091399997	0.090000004	0.090499997	0.089699998	0.0898	0.0889	0.089699998	0.089299999	0.089100003	0.089000002	0.089000002	0.089299999	0.090300001	0.090099998	0.089599997	0.090300001	0.089299999	0.089400001	0.089699998	0.089199997	0.091200002	0.089900002	0.090000004	0.089500003	0.089599997	0.0898	0.0898	0.090099998	0.0902	0.089500003	0.089900002	0.089500003	0.0898	0.089500003	0.089699998	0.089500003	0.089400001	0.0898	0.089400001	0.089900002	0.089599997	0.089699998	0.089599997	0.089599997	0.089199997	0.089199997	0.089400001	0.089199997	0.089400001	0.0889	0.089100003	0.089500003	0.089000002	0.089299999	0.0898	0.089900002	0.089599997	0.0889	0.090000004	0.089599997	0.089199997	0.089400001	0.089400001	0.089100003	0.089500003	0.089500003	0.089400001	0.089400001	0.089100003	0.089000002	0.089400001	0.089699998	0.0898	0.089500003	0.089599997	0.089699998	0.0898	0.0902	0.089599997	0.089900002	0.089599997	0.088799998	0.089500003	0.090999998	0.089299999	0.089699998	0.089599997	0.090400003	0.089199997	0.089900002	0.091300003	0.090099998	0.0898	0.0902	0.090099998	0.090400003	0.089500003	0.089900002	0.0902	0.0902	0.090000004	0.089599997	0.0898	0.0898	0.090099998	0.0902	0.090300001	0.089900002	0.090000004	0.089900002	0.090300001	0.090000004	0.0902	0.090099998	0.090300001	0.0902	0.090300001	0.090400003	0.090099998	0.090599999	0.0898	0.089599997	0.0902	0.090300001	0.090300001	0.090300001	0.090300001	0.090300001	0.091600001	0.090300001	0.090000004	0.090499997	0.090300001	0.090700001	0.090700001	0.092	0.090400003	0.090099998	0.090099998	0.090300001	0.090400003	0.090599999	0.090400003	0.090499997	0.090700001	0.090599999	0.090499997	0.090300001	0.090499997	0.090400003	0.090400003	0.090300001	0.090499997	0.090400003	0.090400003	0.090599999	0.090700001	0.090499997	0.090400003	0.090400003	0.090800002	0.090800002	0.0898	0.090599999	0.090400003	0.090700001	0.090300001	0.090400003	0.090000004	0.090400003	0.090700001	0.0902	0.090499997	0.090899996	0.092	0.090499997	0.089900002	0.0902	0.089599997	0.090000004	0.090999998	0.090400003	0.0911	0.090499997	0.090300001	0.090400003	0.090000004	0.0898	0.090999998	0.090099998	0.090700001
A4	0.089900002	0.090499997	0.089900002	0.0902	0.090099998	0.089599997	0.089500003	0.090099998	0.090300001	0.089599997	0.089900002	0.089199997	0.089299999	0.088600002	0.088399999	0.088799998	0.088600002	0.0898	0.088699996	0.0889	0.089500003	0.089299999	0.091600001	0.090400003	0.093099996	0.090800002	0.090700001	0.094700001	0.089599997	0.090300001	0.090300001	0.090599999	0.089900002	0.090700001	0.093699999	0.090499997	0.090499997	0.090499997	0.0902	0.089900002	0.090300001	0.091200002	0.0902	0.090899996	0.090099998	0.090300001	0.090000004	0.090300001	0.0898	0.091600001	0.0902	0.090099998	0.0898	0.0902	0.090400003	0.089699998	0.089900002	0.090099998	0.089900002	0.0898	0.089100003	0.090300001	0.090099998	0.0898	0.0898	0.089500003	0.090700001	0.089599997	0.089500003	0.0902	0.0898	0.089900002	0.0902	0.0898	0.089699998	0.090000004	0.089900002	0.0902	0.089900002	0.089900002	0.090000004	0.089900002	0.089900002	0.0902	0.090400003	0.0898	0.090300001	0.0898	0.090000004	0.089900002	0.089199997	0.089599997	0.089500003	0.0898	0.089900002	0.090099998	0.089599997	0.0898	0.089500003	0.089699998	0.0902	0.0902	0.090599999	0.090300001	0.090300001	0.0902	0.090400003	0.090300001	0.090099998	0.089400001	0.089400001	0.090099998	0.0898	0.090099998	0.0898	0.089900002	0.089900002	0.091200002	0.090599999	0.090599999	0.0898	0.090000004	0.090099998	0.090499997	0.090499997	0.090099998	0.0898	0.090700001	0.0902	0.090499997	0.090899996	0.090000004	0.090599999	0.090300001	0.090700001	0.090300001	0.090499997	0.090499997	0.090599999	0.090999998	0.0902	0.090099998	0.090400003	0.090800002	0.090599999	0.090599999	0.090499997	0.090400003	0.089900002	0.0902	0.090899996	0.090899996	0.090599999	0.0902	0.090300001	0.090800002	0.090700001	0.090400003	0.090899996	0.090499997	0.090499997	0.090800002	0.090800002	0.090700001	0.090599999	0.090499997	0.090300001	0.091200002	0.090800002	0.090999998	0.091399997	0.090700001	0.0911	0.0911	0.090599999	0.091200002	0.0911	0.091399997	0.0911	0.090999998	0.091200002	0.090899996	0.091300003	0.090899996	0.090999998	0.0911	0.0911	0.091600001	0.090999998	0.0911	0.090999998	0.090700001	0.091399997	0.091300003	0.091300003	0.091499999	0.091399997	0.091200002	0.090899996
A5	0.089500003	0.089599997	0.089100003	0.088799998	0.088799998	0.088399999	0.088299997	0.088799998	0.088799998	0.088699996	0.088799998	0.089299999	0.087499999	0.087499999	0.086599998	0.087499999	0.086599998	0.088600002	0.086599998	0.087099999	0.087200001	0.088799998	0.087499999	0.087300003	0.0876	0.088100001	0.089000002	0.088299997	0.090800002	0.088	0.0889	0.089199997	0.091399997	0.088699996	0.093599997	0.094499998	0.0898	0.090300001	0.089400001	0.089400001	0.089000002	0.089400001	0.089599997	0.089500003	0.089599997	0.089400001	0.089199997	0.0889	0.089000002	0.089299999	0.090400003	0.088799998	0.089199997	0.0889	0.089000002	0.088500001	0.0902	0.088699996	0.088600002	0.088799998	0.089100003	0.0889	0.089000002	0.090000004	0.088799998	0.088500001	0.089000002	0.0889	0.088399999	0.089100003	0.089500003	0.0889	0.088799998	0.088699996	0.088699996	0.089000002	0.088600002	0.089000002	0.088699996	0.088500001	0.089000002	0.088600002	0.088500001	0.089000002	0.088799998	0.088799998	0.088500001	0.089199997	0.088799998	0.0889	0.089000002	0.088600002	0.089199997	0.088699996	0.088500001	0.0889	0.089000002	0.089000002	0.0889	0.089599997	0.089100003	0.089299999	0.089400001	0.089100003	0.089699998	0.089599997	0.089500003	0.089100003	0.0889	0.0889	0.090499997	0.089100003	0.089500003	0.089000002	0.089599997	0.089400001	0.089199997	0.089400001	0.089400001	0.089100003	0.089199997	0.089000002	0.090000004	0.0898	0.089699998	0.089500003	0.0889	0.089699998	0.089500003	0.089699998	0.089100003	0.089599997	0.089500003	0.089299999	0.089199997	0.089599997	0.089500003	0.089299999	0.089199997	0.089199997	0.089000002	0.089500003	0.089500003	0.0898	0.089299999	0.089299999	0.089199997	0.089199997	0.089699998	0.089299999	0.089299999	0.089299999	0.089400001	0.089400001	0.089699998	0.090599999	0.089400001	0.089400001	0.089299999	0.089299999	0.089000002	0.089100003	0.089299999	0.089299999	0.089500003	0.090400003	0.089299999	0.089500003	0.089000002	0.089400001	0.089500003	0.089299999	0.089400001	0.089500003	0.089199997	0.089500003	0.089199997	0.089400001	0.089599997	0.089299999	0.089100003	0.089599997	0.089400001	0.089199997	0.089400001	0.089400001	0.089199997	0.090400003	0.089400001	0.089500003	0.089199997	0.089299999	0.089100003	0.089299999	0.089500003	0.089699998	0.089699998	0.089199997	0.090000004
A6	0.089299999	0.089100003	0.0876	0.088500001	0.088799998	0.088699996	0.088500001	0.088600002	0.088500001	0.0889	0.089199997	0.088399999	0.087200001	0.087499999	0.086999997	0.087099999	0.086400002	0.086999997	0.086900003	0.087499999	0.087899998	0.088399999	0.087399997	0.087300003	0.087399997	0.087800004	0.089000002	0.087399997	0.089199997	0.088299997	0.088500001	0.088100001	0.0889	0.0889	0.088200003	0.0889	0.089199997	0.0889	0.089199997	0.088799998	0.088500001	0.0889	0.0889	0.088799998	0.088500001	0.088799998	0.088500001	0.088699996	0.088699996	0.0889	0.088600002	0.088500001	0.089199997	0.088699996	0.088699996	0.088699996	0.088699996	0.088699996	0.088600002	0.088699996	0.088799998	0.088500001	0.088699996	0.0889	0.089199997	0.088500001	0.089100003	0.089299999	0.088799998	0.089000002	0.089199997	0.089100003	0.089299999	0.0889	0.088699996	0.089100003	0.089299999	0.089199997	0.089299999	0.088799998	0.089699998	0.088699996	0.088399999	0.089000002	0.089100003	0.088699996	0.088799998	0.089400001	0.0889	0.088799998	0.089199997	0.088500001	0.089199997	0.088699996	0.089000002	0.088699996	0.088299997	0.088399999	0.0889	0.089299999	0.088699996	0.088600002	0.0889	0.089900002	0.089199997	0.088799998	0.0889	0.088699996	0.088600002	0.088600002	0.088799998	0.088399999	0.089100003	0.088299997	0.089100003	0.0889	0.0889	0.088299997	0.088299997	0.089000002	0.088600002	0.088799998	0.090700001	0.088799998	0.088799998	0.088699996	0.088799998	0.088699996	0.088799998	0.089100003	0.088699996	0.089000002	0.088600002	0.088500001	0.088699996	0.088699996	0.089199997	0.088699996	0.088600002	0.088799998	0.089100003	0.0889	0.089100003	0.0889	0.088799998	0.088699996	0.088600002	0.088600002	0.090599999	0.089000002	0.0889	0.089100003	0.088799998	0.089000002	0.089199997	0.0889	0.0889	0.088799998	0.088799998	0.089000002	0.089000002	0.089100003	0.089000002	0.089299999	0.089299999	0.089299999	0.089299999	0.089199997	0.089400001	0.089299999	0.090400003	0.089100003	0.089199997	0.089400001	0.089400001	0.089199997	0.089400001	0.089299999	0.089100003	0.089400001	0.089299999	0.089199997	0.089400001	0.089400001	0.089400001	0.089400001	0.089299999	0.089400001	0.089699998	0.089599997	0.089500003	0.089400001	0.089599997	0.089500003	0.089400001	0.089599997	0.089599997	0.089100003	0.089599997
A7	0.089900002	0.090499997	0.089400001	0.089299999	0.089500003	0.089599997	0.089500003	0.090700001	0.0898	0.090099998	0.089900002	0.090000004	0.0898	0.0889	0.089500003	0.089900002	0.089400001	0.091399997	0.090999998	0.090000004	0.089100003	0.0898	0.089199997	0.090499997	0.0902	0.090000004	0.090099998	0.089400001	0.090000004	0.0902	0.0902	0.090000004	0.0902	0.090499997	0.090499997	0.090400003	0.090400003	0.090599999	0.090700001	0.090400003	0.090400003	0.090800002	0.090700001	0.090499997	0.090599999	0.090499997	0.090400003	0.089900002	0.090000004	0.090899996	0.089500003	0.089400001	0.0902	0.090300001	0.090300001	0.090099998	0.089699998	0.090099998	0.089699998	0.089900002	0.088399999	0.089199997	0.089000002	0.0889	0.088799998	0.0898	0.089400001	0.089100003	0.089100003	0.088799998	0.088799998	0.090000004	0.0898	0.089599997	0.089299999	0.090000004	0.089699998	0.089599997	0.089299999	0.089199997	0.089599997	0.0898	0.090099998	0.090300001	0.0902	0.090000004	0.090400003	0.090000004	0.090099998	0.089900002	0.089699998	0.090099998	0.089900002	0.090099998	0.090300001	0.090999998	0.089900002	0.090400003	0.090499997	0.090700001	0.0902	0.090800002	0.090999998	0.0911	0.090599999	0.090800002	0.090599999	0.090800002	0.090700001	0.090700001	0.090700001	0.090400003	0.090700001	0.090599999	0.090599999	0.090300001	0.090700001	0.090800002	0.090899996	0.090599999	0.090499997	0.090400003	0.0911	0.090599999	0.090400003	0.0911	0.090800002	0.090999998	0.090999998	0.090999998	0.090599999	0.090800002	0.090999998	0.090899996	0.090599999	0.090499997	0.090899996	0.090700001	0.090599999	0.090899996	0.090499997	0.090599999	0.090700001	0.090800002	0.090800002	0.090700001	0.090499997	0.090499997	0.091200002	0.0911	0.090800002	0.090800002	0.090599999	0.090999998	0.090800002	0.090800002	0.090599999	0.090800002	0.090999998	0.090800002	0.090800002	0.090899996	0.090800002	0.090999998	0.090999998	0.090999998	0.090899996	0.0911	0.090899996	0.0911	0.0911	0.090999998	0.090999998	0.0911	0.090999998	0.090099998	0.090099998	0.090099998	0.090099998	0.090099998	0.090099998	0.090099998	0.090099998	0.0902	0.090099998	0.090099998	0.090000004	0.090099998	0.090599999	0.090400003	0.0902	0.091200002	0.090499997	0.090400003	0.0902	0.090300001	0.090400003	0.089900002	0.090700001
A8	0.088799998	0.089599997	0.088	0.088	0.087899998	0.087899998	0.088500001	0.088500001	0.088500001	0.0889	0.0889	0.089000002	0.0889	0.088	0.088	0.088200003	0.088399999	0.087499999	0.087499999	0.088699996	0.088100001	0.089500003	0.087499999	0.089199997	0.088399999	0.088200003	0.088200003	0.087899998	0.087899998	0.088200003	0.088600002	0.088500001	0.088299997	0.0898	0.088100001	0.088399999	0.0889	0.088200003	0.088600002	0.088699996	0.088699996	0.088500001	0.0889	0.088500001	0.089000002	0.088799998	0.088799998	0.088299997	0.088799998	0.088399999	0.088600002	0.0889	0.089599997	0.088699996	0.088500001	0.088299997	0.088799998	0.088699996	0.088299997	0.088399999	0.088500001	0.088699996	0.088799998	0.088699996	0.089100003	0.088100001	0.0889	0.088699996	0.088699996	0.088799998	0.088600002	0.0889	0.089000002	0.089299999	0.089299999	0.088799998	0.089100003	0.089100003	0.088699996	0.088699996	0.089699998	0.089100003	0.089599997	0.0889	0.088799998	0.089400001	0.089199997	0.090000004	0.089400001	0.089500003	0.089400001	0.089199997	0.089299999	0.088799998	0.089199997	0.089400001	0.090000004	0.089400001	0.089599997	0.0902	0.089699998	0.089400001	0.089699998	0.089199997	0.090099998	0.089599997	0.0898	0.089599997	0.089100003	0.089299999	0.0898	0.089699998	0.0898	0.089900002	0.0902	0.0898	0.090099998	0.090099998	0.090099998	0.089599997	0.089500003	0.089699998	0.0902	0.090000004	0.089699998	0.090099998	0.089699998	0.089900002	0.089900002	0.090300001	0.0898	0.090000004	0.090499997	0.090000004	0.090300001	0.089400001	0.090000004	0.0898	0.089599997	0.090000004	0.089699998	0.089500003	0.089900002	0.089599997	0.089000002	0.089000002	0.088500001	0.089199997	0.089599997	0.0898	0.0898	0.089500003	0.089100003	0.089900002	0.089199997	0.0889	0.089000002	0.089500003	0.089299999	0.089000002	0.0902	0.089199997	0.089100003	0.089500003	0.089299999	0.089199997	0.089100003	0.089100003	0.0889	0.0889	0.089000002	0.0889	0.089100003	0.089400001	0.088600002	0.089199997	0.089400001	0.089500003	0.089500003	0.089100003	0.089299999	0.089400001	0.089500003	0.089500003	0.089299999	0.089400001	0.089400001	0.089000002	0.089500003	0.089699998	0.089400001	0.089100003	0.089699998	0.089699998	0.0898	0.090000004	0.089900002	0.089400001	0.089500003
