Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207
Time [s]	0	329.9	659.8	989.7	1319.6	1649.5	1979.4	2309.3	2639.2	2969.1	3299	3628.9	3958.8	4288.7	4618.6	4948.5	5278.4	5608.3	5938.2	6268.1	6598	6927.9	7257.8	7587.7	7917.6	8247.5	8577.4	8907.3	9237.2	9567.1	9897	10226.9	10556.8	10886.7	11216.6	11546.5	11876.4	12206.3	12536.2	12866.1	13196	13525.9	13855.8	14185.7	14515.6	14845.5	15175.3	15505.2	15835.1	16165	16494.9	16824.8	17154.7	17484.6	17814.5	18144.4	18474.3	18804.2	19134.1	19464	19793.9	20123.8	20453.7	20783.6	21113.5	21443.4	21773.3	22103.2	22433.1	22763	23092.9	23422.8	23752.7	24082.6	24412.5	24742.4	25072.3	25402.2	25732.1	26062	26391.9	26721.8	27051.7	27381.6	27711.5	28041.4	28371.3	28701.2	29031.1	29361	29690.9	30020.8	30350.7	30680.5	31010.5	31340.4	31670.2	32000.1	32330	32659.9	32989.8	33319.7	33649.6	33979.5	34309.4	34639.3	34969.2	35299.1	35629	35958.9	36288.8	36618.7	36948.6	37278.5	37608.4	37938.3	38268.2	38598.1	38928	39258.2	39588.1	39918	40247.9	40577.8	40907.7	41237.6	41567.5	41897.4	42227.3	42557.2	42887.1	43217	43546.9	43876.8	44206.7	44536.6	44866.5	45196.4	45526.3	45856.2	46186.1	46516	46845.9	47175.8	47505.7	47835.6	48165.5	48495.4	48825.3	49155.2	49485.1	49815	50144.9	50474.8	50804.7	51134.6	51464.5	51794.3	52124.2	52454.1	52784	53113.9	53443.8	53773.7	54103.6	54433.5	54763.4	55093.3	55423.2	55753.1	56083	56412.9	56742.8	57072.7	57402.6	57732.5	58062.4	58392.3	58722.2	59052.1	59382	59711.9	60041.8	60371.7	60701.6	61031.5	61361.4	61691.3	62021.2	62351.1	62681	63010.9	63340.8	63670.7	64000.6	64330.5	64660.4	64990.3	65320.2	65650.1	65980	66309.9	66639.8	66969.7	67299.6	67629.5	67959.4
Temp. [°C]	24.6	37.2	37.1	37.2	37.4	37.5	36.8	37.6	36.9	37.3	37.7	37.6	37.6	37.7	37.7	36.9	37.2	37.8	36.8	37.5	37.3	37.5	37.1	37.6	36.9	37.8	37.2	37.1	37.7	37.2	36.9	37.8	37.4	37	37.7	37.7	37.3	37	37.6	37.8	37.5	37.1	36.8	37.8	37.7	37.4	37.1	36.9	37.8	37.7	37.4	37.2	36.9	37.7	37.8	37.6	37.4	37.1	36.8	37.8	37.8	37.6	37.3	37.1	36.8	37.8	37.8	37.6	37.3	37	36.9	37.9	37.8	37.5	37.2	36.9	37.1	37.8	37.7	37.5	37.2	36.9	37.3	37.8	37.7	37.4	37.1	36.9	37.6	37.9	37.7	37.5	37.2	37	37.4	37.8	37.7	37.5	37.2	37	36.8	37.8	37.8	37.6	37.4	37.1	36.9	37.4	37.8	37.7	37.4	37.2	37	37	37.8	37.8	37.5	37.2	37	37	37.8	37.7	37.5	37.3	37	36.8	37.8	37.8	37.6	37.3	37.1	36.9	37.6	37.8	37.7	37.4	37.1	36.9	37.6	37.8	37.6	37.4	37.2	36.9	37.3	37.8	37.7	37.4	37.2	36.9	37.2	37.9	37.8	37.5	37.3	37	36.8	37.7	37.8	37.6	37.3	37.1	36.8	37.7	37.8	37.7	37.4	37.2	36.9	37	37.9	37.8	37.6	37.3	37.1	36.8	37.8	37.8	37.4	37.2	36.9	37.7	37.8	37.6	37.2	37	37.5	37.8	37.6	37.3	36.9	37.6	37.8	37.4	37.1	36.8	37.8	37.7	37.4	37	37.3	37.8	37.6	37.2	36.8	37.8	37.7
A1	0.086099997	0.086000003	0.0858	0.086000003	0.086400002	0.086199999	0.087499999	0.086300001	0.086300001	0.086499996	0.086199999	0.087399997	0.086199999	0.086300001	0.086300001	0.086300001	0.086499996	0.086400002	0.086400002	0.086499996	0.086599998	0.086599998	0.086599998	0.086599998	0.086599998	0.086499996	0.086499996	0.086599998	0.0867	0.086499996	0.088	0.086599998	0.086400002	0.086400002	0.086900003	0.086599998	0.086599998	0.086499996	0.0867	0.086599998	0.086599998	0.086599998	0.086400002	0.086300001	0.086400002	0.086499996	0.086499996	0.086499996	0.0867	0.086599998	0.086599998	0.0867	0.0867	0.087700002	0.086599998	0.086599998	0.086599998	0.086599998	0.0867	0.086599998	0.086599998	0.086499996	0.086599998	0.087499999	0.086499996	0.086499996	0.086599998	0.086599998	0.086599998	0.086599998	0.086499996	0.086499996	0.086499996	0.086599998	0.086599998	0.086599998	0.086499996	0.086400002	0.086499996	0.086499996	0.086599998	0.086599998	0.086599998	0.087099999	0.086499996	0.086499996	0.086499996	0.086400002	0.086300001	0.086400002	0.086199999	0.086300001	0.086300001	0.086300001	0.087499999	0.086300001	0.086300001	0.086499996	0.086199999	0.086300001	0.086199999	0.086199999	0.086300001	0.086400002	0.086300001	0.086300001	0.087399997	0.086199999	0.086400002	0.086199999	0.086099997	0.086300001	0.086499996	0.086300001	0.086199999	0.086199999	0.086199999	0.086199999	0.086499996	0.086999997	0.086099997	0.086199999	0.086499996	0.086199999	0.086199999	0.086499996	0.086499996	0.086499996	0.086400002	0.086400002	0.086400002	0.086400002	0.086400002	0.086400002	0.086199999	0.086199999	0.086199999	0.086499996	0.086599998	0.086599998	0.086400002	0.086499996	0.086400002	0.087800004	0.086599998	0.086599998	0.086599998	0.086599998	0.086599998	0.086499996	0.086499996	0.086499996	0.086499996	0.086499996	0.086499996	0.086499996	0.086499996	0.086499996	0.086400002	0.086400002	0.086499996	0.086400002	0.086499996	0.086400002	0.086400002	0.086400002	0.086400002	0.086400002	0.086499996	0.086499996	0.087300003	0.086400002	0.086400002	0.086300001	0.086400002	0.086499996	0.087700002	0.086400002	0.086400002	0.086199999	0.086400002	0.086400002	0.086499996	0.086099997	0.086400002	0.086099997	0.086099997	0.086099997	0.086099997	0.086300001	0.086199999	0.086199999	0.086099997	0.086000003	0.086099997	0.086099997	0.086400002	0.086099997	0.086000003	0.087300003	0.086099997	0.086099997	0.086199999	0.086099997	0.086099997	0.086099997	0.086000003
A2	0.113799997	0.1149	0.116800003	0.120800003	0.125699997	0.133399993	0.142900005	0.154599994	0.166899994	0.184100002	0.202399999	0.222599998	0.245800003	0.270599991	0.291799992	0.311100006	0.333900005	0.34740001	0.370000005	0.39320001	0.408600003	0.419099987	0.432599992	0.442299992	0.451599985	0.456699997	0.466399997	0.475199997	0.482899994	0.491600007	0.497900009	0.506500006	0.524399996	0.520799994	0.53640002	0.545000017	0.553499997	0.560500026	0.568199992	0.573000014	0.584299982	0.591000021	0.597500026	0.605099976	0.612200022	0.618399978	0.625	0.630900025	0.635399997	0.642700016	0.647700012	0.658500016	0.660899997	0.662999988	0.667800009	0.670700014	0.680299997	0.684300005	0.6954	0.695900023	0.701699972	0.707700014	0.710399985	0.716300011	0.719600022	0.723399997	0.738300025	0.738099992	0.741699994	0.743499994	0.747699976	0.750800014	0.753199995	0.760500014	0.766099989	0.776499987	0.778199971	0.791499972	0.79519999	0.794799984	0.796700001	0.806599975	0.811600029	0.808899999	0.817499995	0.814999998	0.819599986	0.819800019	0.823199987	0.823199987	0.828299999	0.832700014	0.83099997	0.833599985	0.822399974	0.83130002	0.837700009	0.840699971	0.848800004	0.845899999	0.851000011	0.850499988	0.848699987	0.853500009	0.855000019	0.857299984	0.85769999	0.8574	0.861999989	0.863300025	0.866400003	0.867900014	0.872099996	0.875999987	0.878499985	0.880999982	0.888000011	0.887799978	0.8829	0.887899995	0.888300002	0.892099977	0.919499993	0.897700012	0.871999979	0.867900014	0.87470001	0.870899975	0.903800011	0.898999989	0.898400009	0.902100027	0.9023	0.910399973	0.908299983	0.910899997	0.909799993	0.913699985	0.917999983	0.917200029	0.916800022	0.911899984	0.911899984	0.914600015	0.915199995	0.916800022	0.917500019	0.91839999	0.916299999	0.916800022	0.919499993	0.91839999	0.920799971	0.921999991	0.918900013	0.920700014	0.921299994	0.918099999	0.917800009	0.914699972	0.913200021	0.889999986	0.889800012	0.888700008	0.889199972	0.890799999	0.891600013	0.890699983	0.892099977	0.896300018	0.896700025	0.897899985	0.898699999	0.898800015	0.899399996	0.90109998	0.906499982	0.907899976	0.907800019	0.907899976	0.912299991	0.912800014	0.913900018	0.912500024	0.914600015	0.916899979	0.91839999	0.919399977	0.919700027	0.920599997	0.918900013	0.924000025	0.922699988	0.922500014	0.923799992	0.922599971	0.93599999	0.917200029	0.919799984	0.91869998	0.921800017	0.92110002	0.922900021	0.923300028	0.925100029	0.924099982	0.923900008
A3	0.115199998	0.115599997	0.116700001	0.122599997	0.126800001	0.134299994	0.144999996	0.154899999	0.167999998	0.185800001	0.206599995	0.225700006	0.244200006	0.2667	0.286799997	0.307500005	0.33070001	0.344599992	0.3662	0.386400014	0.405400008	0.418799996	0.430799991	0.440499991	0.451999992	0.458600014	0.468899995	0.478700012	0.487699986	0.494500011	0.505400002	0.510800004	0.521099985	0.530399978	0.531300008	0.550199986	0.547699988	0.551699996	0.563000023	0.578599989	0.591899991	0.596499979	0.602199972	0.60589999	0.610700011	0.615100026	0.621299982	0.623899996	0.629700005	0.636500001	0.640100002	0.646399975	0.653999984	0.658100009	0.658699989	0.662699997	0.667100012	0.673300028	0.678600013	0.682699978	0.685299993	0.691100001	0.6972	0.698700011	0.707199991	0.7148	0.721700013	0.728399992	0.733699977	0.736899972	0.740400016	0.741599977	0.745299995	0.750699997	0.757499993	0.76819998	0.772800028	0.778800011	0.781199992	0.788600028	0.791000009	0.797800004	0.801800013	0.805100024	0.806999981	0.814199984	0.814400017	0.817300022	0.817300022	0.820200026	0.822600007	0.826099992	0.824599981	0.830299973	0.835099995	0.838699996	0.849099994	0.851700008	0.855099976	0.860899985	0.866400003	0.86619997	0.869300008	0.871599972	0.877200007	0.872900009	0.882399976	0.88380003	0.882300019	0.886799991	0.889800012	0.894200027	0.892199993	0.894500017	0.896499991	0.898999989	0.901600003	0.896899998	0.904600024	0.911000013	0.908900023	0.911199987	0.916000009	0.915000021	0.912199974	0.914600015	0.916999996	0.9199	0.917100012	0.909600019	0.913299978	0.909500003	0.91109997	0.920700014	0.921000004	0.921400011	0.918600023	0.924300015	0.926199973	0.924799979	0.925700009	0.921000004	0.912400007	0.90109998	0.900900006	0.906300008	0.906199992	0.907100022	0.908699989	0.909799993	0.911800027	0.915700018	0.918900013	0.91960001	0.921400011	0.922500014	0.925100029	0.925599992	0.928600013	0.927100003	0.935400009	0.933499992	0.937099993	0.936600029	0.935599983	0.942099988	0.941600025	0.941799998	0.944299996	0.947600007	0.94569999	0.947799981	0.9472	0.951399982	0.954599977	0.953000009	0.953700006	0.955200016	0.951399982	0.957000017	0.958800018	0.957300007	0.960600019	0.959399998	0.96390003	0.963400006	0.965600014	0.968999982	0.969200015	0.973100007	0.967400014	0.970799983	0.971099973	0.973399997	0.97299999	0.973500013	0.977800012	0.978100002	0.973200023	0.978600025	0.973800004	0.977400005	0.977999985	0.975600004	0.974600017	0.971499979	0.970700026
A4	0.117799997	0.118500002	0.1184	0.123099998	0.129899994	0.135700002	0.144999996	0.159099996	0.167999998	0.187000006	0.205500007	0.224800006	0.244900003	0.268599987	0.288800001	0.309399992	0.329600006	0.346500009	0.364100009	0.384900004	0.407099992	0.422699988	0.434799999	0.442200005	0.453799993	0.462000012	0.472799987	0.483500004	0.491400003	0.49970001	0.509199977	0.518700004	0.527400017	0.532800019	0.540199995	0.548600018	0.574299991	0.580200016	0.590200007	0.595399976	0.604700029	0.610700011	0.619199991	0.62559998	0.629700005	0.63349998	0.643599987	0.648699999	0.652899981	0.659600019	0.670300007	0.672999978	0.684499979	0.685699999	0.685899973	0.690199971	0.698800027	0.70569998	0.708500028	0.714699984	0.717999995	0.720000029	0.728100002	0.730700016	0.735599995	0.742200017	0.748899996	0.753400028	0.757399976	0.756799996	0.761399984	0.764599979	0.767499983	0.772300005	0.778500021	0.781599998	0.789300025	0.797200024	0.800100029	0.809099972	0.813199997	0.820200026	0.822000027	0.825800002	0.828299999	0.834100008	0.836899996	0.837400019	0.840699971	0.842599988	0.849399984	0.849099994	0.853399992	0.854499996	0.859799981	0.862800002	0.868499994	0.872200012	0.872099996	0.875999987	0.881099999	0.883899987	0.888899982	0.892199993	0.894599974	0.893999994	0.898599982	0.899500012	0.9023	0.903900027	0.909699976	0.908299983	0.909799993	0.914300025	0.916800022	0.916700006	0.922399998	0.919499993	0.922999978	0.926100016	0.921299994	0.926100016	0.925800025	0.931100011	0.929499984	0.931500018	0.932099998	0.93629998	0.935299993	0.936800003	0.938499987	0.939800024	0.942300022	0.943799973	0.944500029	0.940999985	0.941699982	0.941100001	0.946200013	0.94599998	0.948199987	0.945299983	0.947899997	0.949000001	0.94569999	0.951600015	0.950399995	0.951699972	0.950699985	0.95660001	0.953000009	0.954100013	0.949299991	0.953400016	0.951499999	0.956799984	0.957300007	0.958800018	0.959500015	0.957499981	0.959999979	0.960399985	0.960600019	0.958000004	0.957199991	0.959800005	0.957000017	0.960500002	0.957899988	0.962000012	0.957899988	0.962400019	0.960799992	0.963100016	0.963100016	0.963999987	0.966099977	0.967700005	0.96359998	0.966000021	0.968999982	0.965399981	0.966300011	0.965799987	0.969200015	0.966199994	0.968699992	0.971099973	0.971199989	0.9745	0.967999995	0.969299972	0.969900012	0.971400023	0.972000003	0.970499992	0.974099994	0.971199989	0.970799983	0.976700008	0.968400002	0.973500013	0.977299988	0.975600004	0.973399997	0.974600017	0.974399984
A5	0.117299996	0.117399998	0.118900001	0.122500002	0.1285	0.135000005	0.144199997	0.1558	0.166999996	0.183699995	0.202299997	0.218600005	0.243300006	0.263700008	0.28459999	0.304199994	0.322600007	0.344500005	0.356000006	0.375	0.394499987	0.412200004	0.424299985	0.433400005	0.447400004	0.458200008	0.462500006	0.473800004	0.486699998	0.493400007	0.50150001	0.510599971	0.519299984	0.527100027	0.538900018	0.548699975	0.554899991	0.560400009	0.568199992	0.579699993	0.584900022	0.59009999	0.602699995	0.604600012	0.613699973	0.620299995	0.630400002	0.63440001	0.641700029	0.647700012	0.653299987	0.659699976	0.668200016	0.685500026	0.676900029	0.683899999	0.688300014	0.694400012	0.699500024	0.709399998	0.71390003	0.715300024	0.724600017	0.725399971	0.73119998	0.737200022	0.751900017	0.755500019	0.751600027	0.752499998	0.757300019	0.760500014	0.763400018	0.769299984	0.772199988	0.777400017	0.782299995	0.786000013	0.791499972	0.798099995	0.804499984	0.809800029	0.813000023	0.813300014	0.818099976	0.820200026	0.831700027	0.837000012	0.841400027	0.852999985	0.852900028	0.853900015	0.855700016	0.858799994	0.861100018	0.86680001	0.874000013	0.873700023	0.877499998	0.87650001	0.881099999	0.877499998	0.883099973	0.88380003	0.885599971	0.88349998	0.891200006	0.889400005	0.893700004	0.890999973	0.889800012	0.892499983	0.890200019	0.893700004	0.896600008	0.898599982	0.903199971	0.901499987	0.902199984	0.91109997	0.905799985	0.906700015	0.911000013	0.916000009	0.913100004	0.916999996	0.920000017	0.92019999	0.920899987	0.918799996	0.923099995	0.925000012	0.926699996	0.926100016	0.92930001	0.927299976	0.927600026	0.934000015	0.933600008	0.932600021	0.930899978	0.924700022	0.926400006	0.927999973	0.931800008	0.930400014	0.92750001	0.935599983	0.93599999	0.9375	0.937300026	0.937300026	0.937900007	0.939599991	0.936399996	0.93779999	0.939100027	0.937099993	0.939199984	0.939300001	0.943700016	0.944100022	0.947099984	0.946799994	0.942600012	0.94569999	0.942499995	0.948700011	0.941500008	0.944899976	0.939700007	0.945500016	0.945200026	0.947000027	0.94660002	0.949500024	0.947600007	0.949000001	0.948599994	0.949899971	0.952499986	0.951200008	0.952300012	0.951799989	0.95630002	0.953199983	0.954100013	0.955200016	0.956700027	0.956900001	0.95569998	0.957700014	0.958500028	0.959900022	0.961700022	0.960200012	0.962000012	0.963500023	0.963699996	0.963999987	0.963	0.9648	0.966000021	0.967400014	0.966899991	0.967899978	0.967999995
A6	0.116499998	0.115699999	0.117200002	0.120099999	0.127100006	0.133000001	0.140799999	0.154200003	0.164499998	0.180700004	0.200499997	0.219099998	0.2412	0.265500009	0.28490001	0.307399988	0.328000009	0.343600005	0.356299996	0.374500006	0.393999994	0.409399986	0.421299994	0.430500001	0.451400012	0.453799993	0.462399989	0.476999998	0.480800003	0.489399999	0.49849999	0.507799983	0.524800003	0.52759999	0.547299981	0.547699988	0.55369997	0.558899999	0.568499982	0.578400016	0.583899975	0.592100024	0.601599991	0.607900023	0.617699981	0.627900004	0.637700021	0.659300029	0.666100025	0.671400011	0.67900002	0.688499987	0.693000019	0.704599977	0.70539999	0.710300028	0.720000029	0.721400023	0.727100015	0.739499986	0.744700015	0.749800026	0.757799983	0.760399997	0.765999973	0.769800007	0.779299974	0.7852	0.78490001	0.785399973	0.786300004	0.793099999	0.796400011	0.804700017	0.809000015	0.814999998	0.825900018	0.831099987	0.834800005	0.841300011	0.846199989	0.851599991	0.85680002	0.856100023	0.861400008	0.857500017	0.865100026	0.870500028	0.86500001	0.871900022	0.872900009	0.874000013	0.874599993	0.875	0.871599972	0.870899975	0.871900022	0.871100008	0.868200004	0.869700015	0.833800018	0.845200002	0.843900025	0.839699984	0.843400002	0.838199973	0.842999995	0.840900004	0.838100016	0.841199994	0.844799995	0.844900012	0.843699992	0.845499992	0.844299972	0.844200015	0.861999989	0.84799999	0.859200001	0.856700003	0.859200001	0.863399982	0.865800023	0.861400008	0.863300025	0.865400016	0.866100013	0.867299974	0.870599985	0.864300013	0.86559999	0.871100008	0.870000005	0.871800005	0.871299982	0.868900001	0.867500007	0.87470001	0.87559998	0.876900017	0.878099978	0.87440002	0.876100004	0.879599988	0.877499998	0.882700026	0.883599997	0.883300006	0.882399976	0.882399976	0.884899974	0.884299994	0.885699987	0.888000011	0.887000024	0.886200011	0.889900029	0.877699971	0.885699987	0.876399994	0.872500002	0.87349999	0.878000021	0.886399984	0.878099978	0.888000011	0.888700008	0.88349998	0.886900008	0.886600018	0.887899995	0.890799999	0.889699996	0.890900016	0.893899977	0.89319998	0.895699978	0.899399996	0.899200022	0.899900019	0.906400025	0.905200005	0.906599998	0.903299987	0.907700002	0.908599973	0.9102	0.911000013	0.913999975	0.912299991	0.916700006	0.917999983	0.918900013	0.916000009	0.926299989	0.919499993	0.923600018	0.9199	0.926400006	0.924399972	0.9278	0.925400019	0.926400006	0.927200019	0.936100006	0.929400027	0.929899991
A7	0.115099996	0.115800001	0.117299996	0.1206	0.127900004	0.133100003	0.142399997	0.155900002	0.164399996	0.182699993	0.201100007	0.216000006	0.240199998	0.259600013	0.281500012	0.303200006	0.324000001	0.336699992	0.35589999	0.369399995	0.387499988	0.405600011	0.418599993	0.425000012	0.435499996	0.444299996	0.453399986	0.465999991	0.476500005	0.483399987	0.49180001	0.50150001	0.511200011	0.531400025	0.540799975	0.551100016	0.556699991	0.568400025	0.576600015	0.582599998	0.591899991	0.599300027	0.607299984	0.613300025	0.623700023	0.629899979	0.640600026	0.644699991	0.649900019	0.661199987	0.670300007	0.673699975	0.684499979	0.68809998	0.688199997	0.696099997	0.701699972	0.710099995	0.718100011	0.720799983	0.724600017	0.731999993	0.739400029	0.744499981	0.750100017	0.7579	0.7676	0.771499991	0.773899972	0.775699973	0.779100001	0.777400017	0.783999979	0.788100004	0.798200011	0.807099998	0.811600029	0.822600007	0.833400011	0.830799997	0.838	0.844900012	0.852500021	0.847899973	0.855499983	0.851700008	0.861800015	0.86680001	0.865199983	0.872300029	0.87379998	0.877900004	0.878000021	0.8847	0.884899974	0.889299989	0.892199993	0.890999973	0.888999999	0.892199993	0.896600008	0.898800015	0.901799977	0.902700007	0.904399991	0.903299987	0.909799993	0.903800011	0.902800024	0.908699989	0.911300004	0.912100017	0.911499977	0.912500024	0.913600028	0.915300012	0.916100025	0.918799996	0.924600005	0.92839998	0.925199986	0.925300002	0.92839998	0.925800025	0.934700012	0.927299976	0.928600013	0.932299972	0.933399975	0.934499979	0.934400022	0.940400004	0.941200018	0.946799994	0.946799994	0.949999988	0.94630003	0.953199983	0.952899992	0.954400003	0.956799984	0.953800023	0.951900005	0.959599972	0.959399998	0.962199986	0.965300024	0.965399981	0.96359998	0.966199994	0.965399981	0.966099977	0.962899983	0.960500002	0.964699984	0.963699996	0.968100011	0.968800008	0.945200026	0.938499987	0.937300026	0.935599983	0.956399977	0.929499984	0.945900023	0.924399972	0.924199998	0.918099999	0.937399983	0.917400002	0.925000012	0.917100012	0.930999994	0.933600008	0.934899986	0.934499979	0.935199976	0.932600021	0.934000015	0.932699978	0.938600004	0.937399983	0.939199984	0.932699978	0.93599999	0.936800003	0.934899986	0.936600029	0.936100006	0.937699974	0.938000023	0.936500013	0.93809998	0.938300014	0.941699982	0.943199992	0.943899989	0.941600025	0.944999993	0.92930001	0.931500018	0.930999994	0.935000002	0.933000028	0.9375	0.937399983	0.93690002
A8	0.116800003	0.1184	0.117299996	0.121100001	0.1285	0.1338	0.142499998	0.154300004	0.166299999	0.183200002	0.202299997	0.219500005	0.245900005	0.264899999	0.288899988	0.311300009	0.328200012	0.345200002	0.357199997	0.377900004	0.395799994	0.412099987	0.422300011	0.431400001	0.440600008	0.4472	0.452300012	0.462000012	0.471100003	0.477299988	0.485599995	0.494100004	0.514800012	0.520200014	0.529100001	0.537999988	0.544399977	0.551599979	0.562300026	0.570900023	0.579299986	0.588699996	0.597100019	0.604600012	0.612399995	0.617200017	0.626299977	0.634599984	0.637300014	0.645699978	0.649299979	0.658900023	0.665400028	0.672599971	0.673799992	0.680499971	0.68599999	0.693099976	0.698800027	0.703499973	0.707400024	0.711700022	0.717999995	0.723200023	0.730199993	0.734300017	0.748000026	0.752600014	0.755699992	0.757099986	0.765299976	0.770299971	0.773400009	0.780799985	0.78640002	0.789799988	0.795400023	0.797699988	0.795899987	0.807900012	0.819899976	0.821399987	0.826799989	0.831099987	0.835500002	0.839900017	0.843299985	0.846700013	0.848999977	0.851000011	0.85710001	0.857599974	0.861100018	0.86589998	0.869899988	0.871299982	0.871500015	0.874499977	0.878300011	0.880100012	0.884299994	0.886600018	0.889800012	0.892700016	0.889599979	0.895099998	0.897300005	0.901300013	0.906099975	0.904399991	0.907299995	0.909399986	0.910099983	0.912299991	0.912500024	0.914799988	0.92019999	0.922200024	0.926699996	0.930700004	0.929099977	0.934000015	0.939199984	0.937399983	0.939800024	0.941500008	0.9454	0.950800002	0.952400029	0.949599981	0.953100026	0.955799997	0.960699975	0.963800013	0.964699984	0.967499971	0.967499971	0.973200023	0.975099981	0.972899973	0.977500021	0.975000024	0.979200006	0.986199975	0.984399974	0.981700003	0.983900011	0.99089998	0.989899993	0.995000005	0.995000005	0.997300029	0.996599972	1.002200007	0.996800005	0.99970001	1.00150001	1.00150001	1.001899958	1.005800009	1.00880003	1.012799978	1.017199993	1.017799973	1.012500048	1.01639998	1.017699957	1.020400047	1.022799969	1.023800015	1.020699978	1.02670002	1.021399975	1.026100039	1.025699973	1.031399965	1.027999997	1.034500003	1.02639997	1.031000018	1.032500029	1.031999946	1.033200026	1.031299949	1.037099957	1.031999946	1.033300042	1.034999967	1.037700057	1.040799975	1.035099983	1.034800053	1.034700036	1.037099957	1.038200021	1.036399961	1.040899992	1.038100004	1.037899971	1.037999988	1.034600019	1.037999988	1.039199948	1.036200047	1.036299944	1.039299965	1.039600015
