Chemical	cJMP	Unit	Date	Well	Organism	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-09	A1	5111	NA	FALSE	1	0	0.0854	icontrol
deoxycholate	177	%w/v	2022-03-09	A2	5111	1	FALSE	1	0	0.0856	icontrol
mecillinam	32	ng/mL	2022-03-09	A3	5111	30	FALSE	1	0	0.0891	icontrol
nickel(ii)	70	mM	2022-03-09	A4	5111	1	FALSE	1	0	0.0875	icontrol
novobiocin	37	ug/mL	2022-03-09	A5	5111	30	FALSE	1	0	0.0893	icontrol
urea	227	mM	2022-03-09	A6	5111	750	FALSE	1	0	0.089	icontrol
none	0		2022-03-09	A7	5142	NA	FALSE	1	0	0.0855	icontrol
deoxycholate	177	%w/v	2022-03-09	A8	5142	1	FALSE	1	0	0.0875	icontrol
mecillinam	32	ng/mL	2022-03-09	A9	5142	30	FALSE	1	0	0.0857	icontrol
nickel(ii)	70	mM	2022-03-09	A10	5142	1	FALSE	1	0	0.0961	icontrol
novobiocin	37	ug/mL	2022-03-09	A11	5142	30	FALSE	1	0	0.0883	icontrol
urea	227	mM	2022-03-09	A12	5142	750	FALSE	1	0	0.0884	icontrol
none	0		2022-03-09	B1	5111	NA	FALSE	2	0	0.0867	icontrol
deoxycholate	177	%w/v	2022-03-09	B2	5111	1	FALSE	2	0	0.0875	icontrol
mecillinam	32	ng/mL	2022-03-09	B3	5111	30	FALSE	2	0	0.0848	icontrol
nickel(ii)	70	mM	2022-03-09	B4	5111	1	FALSE	2	0	0.0868	icontrol
novobiocin	37	ug/mL	2022-03-09	B5	5111	30	FALSE	2	0	0.0954	icontrol
urea	227	mM	2022-03-09	B6	5111	750	FALSE	2	0	0.0895	icontrol
none	0		2022-03-09	B7	5142	NA	FALSE	2	0	0.086	icontrol
deoxycholate	177	%w/v	2022-03-09	B8	5142	1	FALSE	2	0	0.0883	icontrol
mecillinam	32	ng/mL	2022-03-09	B9	5142	30	FALSE	2	0	0.0858	icontrol
nickel(ii)	70	mM	2022-03-09	B10	5142	1	FALSE	2	0	0.0887	icontrol
novobiocin	37	ug/mL	2022-03-09	B11	5142	30	FALSE	2	0	0.0872	icontrol
urea	227	mM	2022-03-09	B12	5142	750	FALSE	2	0	0.0861	icontrol
none	0		2022-03-09	C1	5111	NA	FALSE	3	0	0.0857	icontrol
deoxycholate	177	%w/v	2022-03-09	C2	5111	1	FALSE	3	0	0.0896	icontrol
mecillinam	32	ng/mL	2022-03-09	C3	5111	30	FALSE	3	0	0.0878	icontrol
nickel(ii)	70	mM	2022-03-09	C4	5111	1	FALSE	3	0	0.087	icontrol
novobiocin	37	ug/mL	2022-03-09	C5	5111	30	FALSE	3	0	0.0902	icontrol
urea	227	mM	2022-03-09	C6	5111	750	FALSE	3	0	0.0916	icontrol
none	0		2022-03-09	C7	5142	NA	FALSE	3	0	0.088	icontrol
deoxycholate	177	%w/v	2022-03-09	C8	5142	1	FALSE	3	0	0.0861	icontrol
mecillinam	32	ng/mL	2022-03-09	C9	5142	30	FALSE	3	0	0.086	icontrol
nickel(ii)	70	mM	2022-03-09	C10	5142	1	FALSE	3	0	0.0878	icontrol
novobiocin	37	ug/mL	2022-03-09	C11	5142	30	FALSE	3	0	0.0875	icontrol
urea	227	mM	2022-03-09	C12	5142	750	FALSE	3	0	0.0869	icontrol
none	0		2022-03-09	D1	5111	NA	FALSE	4	0	0.0911	icontrol
deoxycholate	177	%w/v	2022-03-09	D2	5111	1	FALSE	4	0	0.0877	icontrol
mecillinam	32	ng/mL	2022-03-09	D3	5111	30	FALSE	4	0	0.0877	icontrol
nickel(ii)	70	mM	2022-03-09	D4	5111	1	FALSE	4	0	0.0874	icontrol
novobiocin	37	ug/mL	2022-03-09	D5	5111	30	FALSE	4	0	0.0969	icontrol
urea	227	mM	2022-03-09	D6	5111	750	FALSE	4	0	0.0874	icontrol
none	0		2022-03-09	D7	5142	NA	FALSE	4	0	0.0872	icontrol
deoxycholate	177	%w/v	2022-03-09	D8	5142	1	FALSE	4	0	0.0864	icontrol
mecillinam	32	ng/mL	2022-03-09	D9	5142	30	FALSE	4	0	0.0849	icontrol
nickel(ii)	70	mM	2022-03-09	D10	5142	1	FALSE	4	0	0.0859	icontrol
novobiocin	37	ug/mL	2022-03-09	D11	5142	30	FALSE	4	0	0.0859	icontrol
urea	227	mM	2022-03-09	D12	5142	750	FALSE	4	0	0.0858	icontrol
none	0		2022-03-09	E1	5111	NA	TRUE	1	0	0.0856	icontrol
deoxycholate	177	%w/v	2022-03-09	E2	5111	1	TRUE	1	0	0.0882	icontrol
mecillinam	32	ng/mL	2022-03-09	E3	5111	30	TRUE	1	0	0.0874	icontrol
nickel(ii)	70	mM	2022-03-09	E4	5111	1	TRUE	1	0	0.086	icontrol
novobiocin	37	ug/mL	2022-03-09	E5	5111	30	TRUE	1	0	0.0891	icontrol
urea	227	mM	2022-03-09	E6	5111	750	TRUE	1	0	0.1537	icontrol
none	0		2022-03-09	E7	5142	NA	TRUE	1	0	0.0866	icontrol
deoxycholate	177	%w/v	2022-03-09	E8	5142	1	TRUE	1	0	0.0871	icontrol
mecillinam	32	ng/mL	2022-03-09	E9	5142	30	TRUE	1	0	0.0865	icontrol
nickel(ii)	70	mM	2022-03-09	E10	5142	1	TRUE	1	0	0.087	icontrol
novobiocin	37	ug/mL	2022-03-09	E11	5142	30	TRUE	1	0	0.0882	icontrol
urea	227	mM	2022-03-09	E12	5142	750	TRUE	1	0	0.0896	icontrol
none	0		2022-03-09	F1	5111	NA	TRUE	2	0	0.0976	icontrol
deoxycholate	177	%w/v	2022-03-09	F2	5111	1	TRUE	2	0	0.0878	icontrol
mecillinam	32	ng/mL	2022-03-09	F3	5111	30	TRUE	2	0	0.0868	icontrol
nickel(ii)	70	mM	2022-03-09	F4	5111	1	TRUE	2	0	0.0867	icontrol
novobiocin	37	ug/mL	2022-03-09	F5	5111	30	TRUE	2	0	0.0993	icontrol
urea	227	mM	2022-03-09	F6	5111	750	TRUE	2	0	0.0901	icontrol
none	0		2022-03-09	F7	5142	NA	TRUE	2	0	0.0888	icontrol
deoxycholate	177	%w/v	2022-03-09	F8	5142	1	TRUE	2	0	0.0893	icontrol
mecillinam	32	ng/mL	2022-03-09	F9	5142	30	TRUE	2	0	0.0849	icontrol
nickel(ii)	70	mM	2022-03-09	F10	5142	1	TRUE	2	0	0.0872	icontrol
novobiocin	37	ug/mL	2022-03-09	F11	5142	30	TRUE	2	0	0.0881	icontrol
urea	227	mM	2022-03-09	F12	5142	750	TRUE	2	0	0.0898	icontrol
none	0		2022-03-09	G1	5111	NA	TRUE	3	0	0.0876	icontrol
deoxycholate	177	%w/v	2022-03-09	G2	5111	1	TRUE	3	0	0.0883	icontrol
mecillinam	32	ng/mL	2022-03-09	G3	5111	30	TRUE	3	0	0.0864	icontrol
nickel(ii)	70	mM	2022-03-09	G4	5111	1	TRUE	3	0	0.086	icontrol
novobiocin	37	ug/mL	2022-03-09	G5	5111	30	TRUE	3	0	0.0893	icontrol
urea	227	mM	2022-03-09	G6	5111	750	TRUE	3	0	0.0871	icontrol
none	0		2022-03-09	G7	5142	NA	TRUE	3	0	0.0937	icontrol
deoxycholate	177	%w/v	2022-03-09	G8	5142	1	TRUE	3	0	0.0902	icontrol
mecillinam	32	ng/mL	2022-03-09	G9	5142	30	TRUE	3	0	0.0898	icontrol
nickel(ii)	70	mM	2022-03-09	G10	5142	1	TRUE	3	0	0.088	icontrol
novobiocin	37	ug/mL	2022-03-09	G11	5142	30	TRUE	3	0	0.0909	icontrol
urea	227	mM	2022-03-09	G12	5142	750	TRUE	3	0	0.0874	icontrol
none	0		2022-03-09	H1	5111	NA	TRUE	4	0	0.0863	icontrol
deoxycholate	177	%w/v	2022-03-09	H2	5111	1	TRUE	4	0	0.0863	icontrol
mecillinam	32	ng/mL	2022-03-09	H3	5111	30	TRUE	4	0	0.089	icontrol
nickel(ii)	70	mM	2022-03-09	H4	5111	1	TRUE	4	0	0.0859	icontrol
