Chemical	cJMP	Unit	Date	Well	Organism	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-19	A1	0	0	FALSE	1	0	0.082	sunrise
none	0		2022-03-19	A2	0	0	FALSE	1	0	0.083	sunrise
none	0		2022-03-19	A3	0	0	FALSE	1	0	0.083	sunrise
none	0		2022-03-19	A4	5147	0	FALSE	1	0	0.1	sunrise
none	0		2022-03-19	A5	5142	0	FALSE	1	0	0.097	sunrise
none	0		2022-03-19	A6	5123	0	FALSE	1	0	0.099	sunrise
none	0		2022-03-19	A7	5144	0	FALSE	1	0	0.101	sunrise
none	0		2022-03-19	A8	5133	0	FALSE	1	0	0.101	sunrise
none	0		2022-03-19	A9	5146	0	FALSE	1	0	0.106	sunrise
none	0		2022-03-19	A10	0	0	FALSE	1	0	0.087	sunrise
none	0		2022-03-19	A11	0	0	FALSE	1	0	0.087	sunrise
none	0		2022-03-19	A12	0	0	FALSE	1	0	0.088	sunrise
none	0		2022-03-19	B1	0	0	FALSE	2	0	0.081	sunrise
none	0		2022-03-19	B2	0	0	FALSE	2	0	0.082	sunrise
none	0		2022-03-19	B3	0	0	FALSE	2	0	0.082	sunrise
none	0		2022-03-19	B4	5147	0	FALSE	2	0	0.096	sunrise
none	0		2022-03-19	B5	5142	0	FALSE	2	0	0.101	sunrise
none	0		2022-03-19	B6	5123	0	FALSE	2	0	0.099	sunrise
none	0		2022-03-19	B7	5144	0	FALSE	2	0	0.102	sunrise
none	0		2022-03-19	B8	5133	0	FALSE	2	0	0.105	sunrise
none	0		2022-03-19	B9	5146	0	FALSE	2	0	0.105	sunrise
none	0		2022-03-19	B10	0	0	FALSE	2	0	0.09	sunrise
none	0		2022-03-19	B11	0	0	FALSE	2	0	0.087	sunrise
none	0		2022-03-19	B12	0	0	FALSE	2	0	0.086	sunrise
none	0		2022-03-19	C1	0	0	FALSE	3	0	0.082	sunrise
none	0		2022-03-19	C2	0	0	FALSE	3	0	0.083	sunrise
none	0		2022-03-19	C3	0	0	FALSE	3	0	0.083	sunrise
none	0		2022-03-19	C4	5147	0	FALSE	3	0	0.096	sunrise
none	0		2022-03-19	C5	5142	0	FALSE	3	0	0.1	sunrise
none	0		2022-03-19	C6	5123	0	FALSE	3	0	0.099	sunrise
none	0		2022-03-19	C7	5144	0	FALSE	3	0	0.101	sunrise
none	0		2022-03-19	C8	5133	0	FALSE	3	0	0.098	sunrise
none	0		2022-03-19	C9	5146	0	FALSE	3	0	0.104	sunrise
none	0		2022-03-19	C10	0	0	FALSE	3	0	0.085	sunrise
none	0		2022-03-19	C11	0	0	FALSE	3	0	0.087	sunrise
none	0		2022-03-19	C12	0	0	FALSE	3	0	0.085	sunrise
none	0		2022-03-19	D1	0	0	FALSE	4	0	0.086	sunrise
none	0		2022-03-19	D2	0	0	FALSE	4	0	0.087	sunrise
none	0		2022-03-19	D3	0	0	FALSE	4	0	0.085	sunrise
none	0		2022-03-19	D4	5147	0	FALSE	4	0	0.099	sunrise
none	0		2022-03-19	D5	5142	0	FALSE	4	0	0.098	sunrise
none	0		2022-03-19	D6	5123	0	FALSE	4	0	0.099	sunrise
none	0		2022-03-19	D7	5144	0	FALSE	4	0	0.101	sunrise
none	0		2022-03-19	D8	5133	0	FALSE	4	0	0.101	sunrise
none	0		2022-03-19	D9	5146	0	FALSE	4	0	0.103	sunrise
none	0		2022-03-19	D10	0	0	FALSE	4	0	0.089	sunrise
none	0		2022-03-19	D11	0	0	FALSE	4	0	0.091	sunrise
none	0		2022-03-19	D12	0	0	FALSE	4	0	0.087	sunrise
ampicillin	6	ug/mL	2022-03-19	E1	0	4	TRUE	1	0	0.086	sunrise
ampicillin	6	ug/mL	2022-03-19	E2	0	4	TRUE	1	0	0.084	sunrise
ampicillin	6	ug/mL	2022-03-19	E3	0	4	TRUE	1	0	0.086	sunrise
ampicillin	6	ug/mL	2022-03-19	E4	5147	4	TRUE	1	0	0.097	sunrise
ampicillin	6	ug/mL	2022-03-19	E5	5142	4	TRUE	1	0	0.099	sunrise
ampicillin	6	ug/mL	2022-03-19	E6	5123	4	TRUE	1	0	0.1	sunrise
ampicillin	6	ug/mL	2022-03-19	E7	5144	4	TRUE	1	0	0.099	sunrise
ampicillin	6	ug/mL	2022-03-19	E8	5133	4	TRUE	1	0	0.103	sunrise
ampicillin	6	ug/mL	2022-03-19	E9	5146	4	TRUE	1	0	0.108	sunrise
ampicillin	6	ug/mL	2022-03-19	E10	0	4	TRUE	1	0	0.088	sunrise
ampicillin	6	ug/mL	2022-03-19	E11	0	4	TRUE	1	0	0.087	sunrise
ampicillin	6	ug/mL	2022-03-19	E12	0	4	TRUE	1	0	0.087	sunrise
ampicillin	6	ug/mL	2022-03-19	F1	0	4	TRUE	2	0	0.096	sunrise
ampicillin	6	ug/mL	2022-03-19	F2	0	4	TRUE	2	0	0.09	sunrise
ampicillin	6	ug/mL	2022-03-19	F3	0	4	TRUE	2	0	0.089	sunrise
ampicillin	6	ug/mL	2022-03-19	F4	5147	4	TRUE	2	0	0.097	sunrise
ampicillin	6	ug/mL	2022-03-19	F5	5142	4	TRUE	2	0	0.1	sunrise
ampicillin	6	ug/mL	2022-03-19	F6	5123	4	TRUE	2	0	0.099	sunrise
ampicillin	6	ug/mL	2022-03-19	F7	5144	4	TRUE	2	0	0.099	sunrise
ampicillin	6	ug/mL	2022-03-19	F8	5133	4	TRUE	2	0	0.101	sunrise
ampicillin	6	ug/mL	2022-03-19	F9	5146	4	TRUE	2	0	0.103	sunrise
ampicillin	6	ug/mL	2022-03-19	F10	0	4	TRUE	2	0	0.087	sunrise
ampicillin	6	ug/mL	2022-03-19	F11	0	4	TRUE	2	0	0.091	sunrise
ampicillin	6	ug/mL	2022-03-19	F12	0	4	TRUE	2	0	0.087	sunrise
ampicillin	6	ug/mL	2022-03-19	G1	0	4	TRUE	3	0	0.101	sunrise
ampicillin	6	ug/mL	2022-03-19	G2	0	4	TRUE	3	0	0.09	sunrise
ampicillin	6	ug/mL	2022-03-19	G3	0	4	TRUE	3	0	0.091	sunrise
ampicillin	6	ug/mL	2022-03-19	G4	5147	4	TRUE	3	0	0.1	sunrise
ampicillin	6	ug/mL	2022-03-19	G5	5142	4	TRUE	3	0	0.103	sunrise
ampicillin	6	ug/mL	2022-03-19	G6	5123	4	TRUE	3	0	0.102	sunrise
ampicillin	6	ug/mL	2022-03-19	G7	5144	4	TRUE	3	0	0.101	sunrise
ampicillin	6	ug/mL	2022-03-19	G8	5133	4	TRUE	3	0	0.103	sunrise
ampicillin	6	ug/mL	2022-03-19	G9	5146	4	TRUE	3	0	0.105	sunrise
ampicillin	6	ug/mL	2022-03-19	G10	0	4	TRUE	3	0	0.09	sunrise
ampicillin	6	ug/mL	2022-03-19	G11	0	4	TRUE	3	0	0.088	sunrise
ampicillin	6	ug/mL	2022-03-19	G12	0	4	TRUE	3	0	0.087	sunrise
ampicillin	6	ug/mL	2022-03-19	H1	0	4	TRUE	4	0	0.093	sunrise
ampicillin	6	ug/mL	2022-03-19	H2	0	4	TRUE	4	0	0.097	sunrise
ampicillin	6	ug/mL	2022-03-19	H3	0	4	TRUE	4	0	0.101	sunrise
ampicillin	6	ug/mL	2022-03-19	H4	5147	4	TRUE	4	0	0.098	sunrise
ampicillin	6	ug/mL	2022-03-19	H5	5142	4	TRUE	4	0	0.103	sunrise
ampicillin	6	ug/mL	2022-03-19	H6	5123	4	TRUE	4	0	0.099	sunrise
ampicillin	6	ug/mL	2022-03-19	H7	5144	4	TRUE	4	0	0.101	sunrise
ampicillin	6	ug/mL	2022-03-19	H8	5133	4	TRUE	4	0	0.104	sunrise
ampicillin	6	ug/mL	2022-03-19	H9	5146	4	TRUE	4	0	0.106	sunrise
ampicillin	6	ug/mL	2022-03-19	H10	0	4	TRUE	4	0	0.091	sunrise
ampicillin	6	ug/mL	2022-03-19	H11	0	4	TRUE	4	0	0.092	sunrise
ampicillin	6	ug/mL	2022-03-19	H12	0	4	TRUE	4	0	0.09	sunrise
none	0		2022-03-19	A1	0	0	FALSE	1	900	0.081	sunrise
none	0		2022-03-19	A2	0	0	FALSE	1	900	0.083	sunrise
