Chemical	cJMP	Unit	Date	Well	Organism	Media	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-24	A1	5147	LB	0	1	1	0	0.091	sunrise
none	0		2022-03-24	A2	5147	LB	0	1	2	0	0.092	sunrise
none	0		2022-03-24	A3	5142	LB	0	1	1	0	0.09	sunrise
none	0		2022-03-24	A4	5142	LB	0	1	2	0	0.09	sunrise
none	0		2022-03-24	A5	5123	LB	0	1	1	0	0.099	sunrise
none	0		2022-03-24	A6	5123	LB	0	1	2	0	0.087	sunrise
none	0		2022-03-24	A7	5144	LB	0	1	1	0	0.088	sunrise
none	0		2022-03-24	A8	5144	LB	0	1	2	0	0.091	sunrise
none	0		2022-03-24	A9	5133	LB	0	1	1	0	0.093	sunrise
none	0		2022-03-24	A10	5133	LB	0	1	2	0	0.093	sunrise
none	0		2022-03-24	A11	5146	LB	0	1	1	0	0.098	sunrise
none	0		2022-03-24	A12	5146	LB	0	1	2	0	0.093	sunrise
none	0		2022-03-24	B1	5147	LB	0	1	3	0	0.092	sunrise
none	0		2022-03-24	B2	5147	LB	0	1	4	0	0.092	sunrise
none	0		2022-03-24	B3	5142	LB	0	1	3	0	0.09	sunrise
none	0		2022-03-24	B4	5142	LB	0	1	4	0	0.09	sunrise
none	0		2022-03-24	B5	5123	LB	0	1	3	0	0.099	sunrise
none	0		2022-03-24	B6	5123	LB	0	1	4	0	0.089	sunrise
none	0		2022-03-24	B7	5144	LB	0	1	3	0	0.089	sunrise
none	0		2022-03-24	B8	5144	LB	0	1	4	0	0.093	sunrise
none	0		2022-03-24	B9	5133	LB	0	1	3	0	0.094	sunrise
none	0		2022-03-24	B10	5133	LB	0	1	4	0	0.094	sunrise
none	0		2022-03-24	B11	5146	LB	0	1	3	0	0.102	sunrise
none	0		2022-03-24	B12	5146	LB	0	1	4	0	0.097	sunrise
none	0		2022-03-24	C1	5147	LB	0	0.1	1	0	0.091	sunrise
none	0		2022-03-24	C2	5147	LB	0	0.1	2	0	0.094	sunrise
none	0		2022-03-24	C3	5142	LB	0	0.1	1	0	0.091	sunrise
none	0		2022-03-24	C4	5142	LB	0	0.1	2	0	0.09	sunrise
none	0		2022-03-24	C5	5123	LB	0	0.1	1	0	0.099	sunrise
none	0		2022-03-24	C6	5123	LB	0	0.1	2	0	0.089	sunrise
none	0		2022-03-24	C7	5144	LB	0	0.1	1	0	0.089	sunrise
none	0		2022-03-24	C8	5144	LB	0	0.1	2	0	0.092	sunrise
none	0		2022-03-24	C9	5133	LB	0	0.1	1	0	0.094	sunrise
none	0		2022-03-24	C10	5133	LB	0	0.1	2	0	0.094	sunrise
none	0		2022-03-24	C11	5146	LB	0	0.1	1	0	0.103	sunrise
none	0		2022-03-24	C12	5146	LB	0	0.1	2	0	0.098	sunrise
none	0		2022-03-24	D1	5147	LB	0	0.1	3	0	0.091	sunrise
none	0		2022-03-24	D2	5147	LB	0	0.1	4	0	0.092	sunrise
none	0		2022-03-24	D3	5142	LB	0	0.1	3	0	0.091	sunrise
none	0		2022-03-24	D4	5142	LB	0	0.1	4	0	0.091	sunrise
none	0		2022-03-24	D5	5123	LB	0	0.1	3	0	0.099	sunrise
none	0		2022-03-24	D6	5123	LB	0	0.1	4	0	0.087	sunrise
none	0		2022-03-24	D7	5144	LB	0	0.1	3	0	0.09	sunrise
none	0		2022-03-24	D8	5144	LB	0	0.1	4	0	0.093	sunrise
none	0		2022-03-24	D9	5133	LB	0	0.1	3	0	0.096	sunrise
none	0		2022-03-24	D10	5133	LB	0	0.1	4	0	0.097	sunrise
none	0		2022-03-24	D11	5146	LB	0	0.1	3	0	0.106	sunrise
none	0		2022-03-24	D12	5146	LB	0	0.1	4	0	0.102	sunrise
none	0		2022-03-24	E1	5147	LB	0	0.01	1	0	0.091	sunrise
none	0		2022-03-24	E2	5147	LB	0	0.01	2	0	0.094	sunrise
none	0		2022-03-24	E3	5142	LB	0	0.01	1	0	0.092	sunrise
none	0		2022-03-24	E4	5142	LB	0	0.01	2	0	0.091	sunrise
none	0		2022-03-24	E5	5123	LB	0	0.01	1	0	0.098	sunrise
none	0		2022-03-24	E6	5123	LB	0	0.01	2	0	0.089	sunrise
none	0		2022-03-24	E7	5144	LB	0	0.01	1	0	0.089	sunrise
none	0		2022-03-24	E8	5144	LB	0	0.01	2	0	0.094	sunrise
none	0		2022-03-24	E9	5133	LB	0	0.01	1	0	0.096	sunrise
none	0		2022-03-24	E10	5133	LB	0	0.01	2	0	0.097	sunrise
none	0		2022-03-24	E11	5146	LB	0	0.01	1	0	0.108	sunrise
none	0		2022-03-24	E12	5146	LB	0	0.01	2	0	0.102	sunrise
none	0		2022-03-24	F1	5147	LB	0	0.01	3	0	0.093	sunrise
none	0		2022-03-24	F2	5147	LB	0	0.01	4	0	0.093	sunrise
none	0		2022-03-24	F3	5142	LB	0	0.01	3	0	0.092	sunrise
none	0		2022-03-24	F4	5142	LB	0	0.01	4	0	0.092	sunrise
none	0		2022-03-24	F5	5123	LB	0	0.01	3	0	0.097	sunrise
none	0		2022-03-24	F6	5123	LB	0	0.01	4	0	0.088	sunrise
