Seconds	Temp	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0s	34.6 °C	0.084	0.093	0.081	0.081	0.079	0.08	0.079	0.079	0.078	0.079	0.078	0.08	0.08	0.096	0.109	0.096	0.096	0.095	0.093	0.094	0.094	0.094	0.096	0.078	0.084	0.141	0.099	0.096	0.098	0.096	0.094	0.095	0.094	0.093	0.093	0.081	0.083	0.115	0.098	0.095	0.096	0.092	0.093	0.096	0.096	0.095	0.096	0.085	0.08	0.101	0.11	0.098	0.097	0.094	0.094	0.094	0.095	0.092	0.095	0.083	0.08	0.101	0.116	0.099	0.095	0.095	0.095	0.098	0.098	0.096	0.095	0.08	0.116	0.102	0.114	0.096	0.096	0.101	0.097	0.097	0.096	0.098	0.096	0.082	0.079	0.083	0.08	0.08	0.079	0.079	0.079	0.079	0.079	0.081	0.079	0.079
312s	36.4 °C	0.084	0.094	0.081	0.081	0.079	0.08	0.079	0.079	0.078	0.079	0.078	0.08	0.08	0.104	0.109	0.105	0.103	0.103	0.102	0.103	0.102	0.104	0.099	0.078	0.084	0.118	0.104	0.104	0.105	0.103	0.101	0.103	0.103	0.098	0.097	0.081	0.083	0.11	0.103	0.1	0.103	0.101	0.1	0.105	0.101	0.099	0.099	0.084	0.08	0.106	0.106	0.104	0.105	0.102	0.102	0.103	0.101	0.099	0.098	0.083	0.08	0.108	0.111	0.107	0.105	0.104	0.102	0.109	0.107	0.101	0.097	0.08	0.116	0.108	0.109	0.103	0.104	0.109	0.103	0.106	0.104	0.108	0.098	0.082	0.079	0.083	0.08	0.08	0.079	0.08	0.079	0.079	0.079	0.081	0.079	0.081
625s	36.5 °C	0.084	0.094	0.081	0.081	0.079	0.08	0.079	0.079	0.078	0.079	0.078	0.08	0.08	0.104	0.109	0.104	0.104	0.104	0.103	0.103	0.097	0.095	0.094	0.078	0.084	0.12	0.106	0.105	0.106	0.105	0.102	0.104	0.099	0.091	0.091	0.081	0.083	0.112	0.104	0.101	0.103	0.102	0.101	0.106	0.099	0.092	0.093	0.084	0.08	0.107	0.107	0.105	0.106	0.103	0.103	0.104	0.098	0.092	0.091	0.083	0.08	0.108	0.11	0.107	0.105	0.105	0.103	0.108	0.104	0.095	0.091	0.08	0.116	0.109	0.11	0.105	0.106	0.11	0.104	0.107	0.103	0.103	0.092	0.082	0.079	0.083	0.08	0.08	0.079	0.08	0.079	0.079	0.079	0.081	0.079	0.081
937s	36.9 °C	0.084	0.093	0.081	0.081	0.079	0.08	0.079	0.079	0.078	0.079	0.078	0.08	0.08	0.108	0.113	0.107	0.106	0.106	0.103	0.099	0.093	0.092	0.092	0.079	0.085	0.123	0.108	0.107	0.108	0.107	0.103	0.1	0.093	0.088	0.089	0.081	0.083	0.114	0.106	0.103	0.106	0.104	0.102	0.101	0.093	0.089	0.091	0.084	0.08	0.111	0.11	0.108	0.109	0.106	0.105	0.1	0.092	0.089	0.089	0.083	0.08	0.111	0.115	0.109	0.108	0.107	0.105	0.106	0.098	0.091	0.088	0.08	0.116	0.111	0.112	0.106	0.107	0.112	0.106	0.106	0.097	0.099	0.089	0.082	0.079	0.083	0.08	0.081	0.079	0.079	0.079	0.079	0.079	0.081	0.079	0.081
1250s	36.8 °C	0.084	0.094	0.081	0.081	0.079	0.08	0.079	0.079	0.078	0.079	0.078	0.08	0.08	0.111	0.117	0.111	0.11	0.107	0.098	0.096	0.091	0.092	0.091	0.079	0.085	0.125	0.111	0.11	0.111	0.109	0.098	0.097	0.09	0.087	0.088	0.081	0.083	0.118	0.109	0.106	0.109	0.107	0.097	0.098	0.09	0.088	0.091	0.084	0.08	0.115	0.113	0.111	0.112	0.108	0.1	0.098	0.09	0.087	0.088	0.083	0.08	0.115	0.118	0.112	0.11	0.11	0.102	0.103	0.095	0.09	0.088	0.08	0.116	0.114	0.114	0.108	0.109	0.113	0.105	0.1	0.094	0.095	0.088	0.082	0.079	0.083	0.08	0.081	0.079	0.079	0.079	0.079	0.079	0.081	0.079	0.081
1562s	36.8 °C	0.084	0.094	0.081	0.081	0.079	0.08	0.079	0.079	0.078	0.079	0.078	0.08	0.08	0.115	0.12	0.114	0.113	0.106	0.095	0.093	0.089	0.091	0.091	0.079	0.085	0.129	0.114	0.114	0.115	0.107	0.095	0.093	0.089	0.087	0.088	0.081	0.083	0.123	0.113	0.11	0.113	0.106	0.094	0.095	0.089	0.088	0.09	0.084	0.08	0.119	0.116	0.114	0.115	0.107	0.096	0.093	0.088	0.087	0.088	0.083	0.08	0.12	0.123	0.116	0.114	0.111	0.098	0.1	0.093	0.09	0.088	0.08	0.116	0.118	0.117	0.111	0.112	0.115	0.1	0.097	0.092	0.095	0.088	0.082	0.079	0.083	0.08	0.081	0.079	0.079	0.079	0.079	0.079	0.081	0.079	0.081
1875s	36.7 °C	0.084	0.093	0.081	0.081	0.079	0.08	0.079	0.079	0.078	0.079	0.078	0.08	0.08	0.119	0.124	0.117	0.117	0.106	0.093	0.091	0.089	0.091	0.091	0.079	0.085	0.135	0.119	0.119	0.119	0.107	0.093	0.092	0.089	0.087	0.088	0.081	0.083	0.127	0.117	0.114	0.117	0.105	0.092	0.095	0.088	0.087	0.09	0.084	0.08	0.124	0.121	0.119	0.119	0.106	0.095	0.091	0.087	0.087	0.088	0.083	0.08	0.125	0.128	0.121	0.119	0.111	0.096	0.098	0.092	0.09	0.088	0.08	0.116	0.122	0.121	0.115	0.116	0.115	0.098	0.094	0.091	0.094	0.088	0.082	0.079	0.083	0.08	0.081	0.079	0.079	0.079	0.079	0.079	0.081	0.079	0.081
2187s	36.8 °C	0.084	0.094	0.081	0.081	0.079	0.08	0.079	0.079	0.078	0.079	0.078	0.08	0.08	0.125	0.129	0.122	0.121	0.106	0.092	0.09	0.088	0.09	0.091	0.079	0.085	0.14	0.124	0.124	0.124	0.107	0.092	0.091	0.089	0.087	0.088	0.081	0.083	0.132	0.123	0.119	0.121	0.105	0.091	0.092	0.088	0.087	0.09	0.084	0.08	0.13	0.126	0.124	0.124	0.106	0.093	0.09	0.087	0.088	0.088	0.084	0.08	0.131	0.132	0.125	0.122	0.11	0.094	0.096	0.092	0.09	0.088	0.08	0.116	0.127	0.126	0.12	0.12	0.115	0.096	0.094	0.091	0.094	0.088	0.082	0.079	0.083	0.08	0.081	0.079	0.079	0.079	0.079	0.079	0.081	0.079	0.081
2500s	36.7 °C	0.084	0.094	0.081	0.081	0.079	0.08	0.079	0.079	0.078	0.079	0.078	0.08	0.08	0.132	0.135	0.127	0.127	0.106	0.092	0.09	0.089	0.091	0.091	0.079	0.085	0.146	0.13	0.13	0.128	0.108	0.091	0.09	0.089	0.088	0.088	0.081	0.083	0.14	0.129	0.125	0.125	0.106	0.091	0.092	0.088	0.088	0.09	0.084	0.08	0.136	0.131	0.13	0.129	0.107	0.092	0.09	0.087	0.088	0.087	0.084	0.08	0.136	0.136	0.129	0.126	0.11	0.093	0.095	0.091	0.089	0.088	0.081	0.116	0.134	0.132	0.125	0.125	0.116	0.095	0.093	0.091	0.095	0.088	0.082	0.079	0.083	0.08	0.081	0.079	0.079	0.079	0.079	0.079	0.081	0.079	0.081
2812s	36.8 °C	0.084	0.094	0.081	0.081	0.079	0.08	0.079	0.079	0.078	0.079	0.078	0.08	0.08	0.141	0.143	0.134	0.132	0.108	0.091	0.09	0.089	0.091	0.091	0.079	0.085	0.155	0.138	0.138	0.133	0.109	0.091	0.09	0.089	0.088	0.088	0.081	0.083	0.148	0.136	0.131	0.131	0.107	0.09	0.091	0.088	0.088	0.09	0.084	0.08	0.145	0.138	0.136	0.133	0.108	0.092	0.089	0.087	0.088	0.088	0.083	0.08	0.146	0.144	0.136	0.131	0.112	0.093	0.095	0.091	0.09	0.088	0.08	0.116	0.142	0.139	0.131	0.13	0.117	0.095	0.092	0.091	0.095	0.088	0.082	0.08	0.083	0.08	0.081	0.079	0.079	0.079	0.079	0.079	0.081	0.079	0.081
