description	gene
Ribonucleoprotein complex GO:1990904	rpsT
Ribonucleoprotein complex GO:1990904	rpsB
Ribonucleoprotein complex GO:1990904	rpsA
Ribonucleoprotein complex GO:1990904	rplT
Ribonucleoprotein complex GO:1990904	rpmI
Ribonucleoprotein complex GO:1990904	rplY
Ribonucleoprotein complex GO:1990904	rplS
Ribonucleoprotein complex GO:1990904	rpsP
Ribonucleoprotein complex GO:1990904	ffh
Ribonucleoprotein complex GO:1990904	rpsU
Ribonucleoprotein complex GO:1990904	rpsO
Ribonucleoprotein complex GO:1990904	rpmA
Ribonucleoprotein complex GO:1990904	rplU
Ribonucleoprotein complex GO:1990904	rpsI
Ribonucleoprotein complex GO:1990904	rplM
Ribonucleoprotein complex GO:1990904	rplQ
Ribonucleoprotein complex GO:1990904	rpsD
Ribonucleoprotein complex GO:1990904	rpsK
Ribonucleoprotein complex GO:1990904	rpsM
Ribonucleoprotein complex GO:1990904	rpmJ
Ribonucleoprotein complex GO:1990904	rpmD
Ribonucleoprotein complex GO:1990904	rplR
Ribonucleoprotein complex GO:1990904	rplF
Ribonucleoprotein complex GO:1990904	rpsH
Ribonucleoprotein complex GO:1990904	rpsN
Ribonucleoprotein complex GO:1990904	rplX
Ribonucleoprotein complex GO:1990904	rplN
Ribonucleoprotein complex GO:1990904	rpsQ
Ribonucleoprotein complex GO:1990904	rpmC
Ribonucleoprotein complex GO:1990904	rplP
Ribonucleoprotein complex GO:1990904	rpsC
Ribonucleoprotein complex GO:1990904	rplV
Ribonucleoprotein complex GO:1990904	rpsS
Ribonucleoprotein complex GO:1990904	rplB
Ribonucleoprotein complex GO:1990904	rplD
Ribonucleoprotein complex GO:1990904	rplC
Ribonucleoprotein complex GO:1990904	rpsJ
Ribonucleoprotein complex GO:1990904	rpsG
Ribonucleoprotein complex GO:1990904	rpsL
Ribonucleoprotein complex GO:1990904	rpmG
Ribonucleoprotein complex GO:1990904	rpmB
Ribonucleoprotein complex GO:1990904	rpmH
Ribonucleoprotein complex GO:1990904	rnpA
Ribonucleoprotein complex GO:1990904	rpmE
