name	annotation	FDR	Direction	type
nuoN	b2276	3.5351168967024	Up	gene
nuoM	b2277	3.72183292208287	Up	gene
nuoL	b2278	2.43095502158385	Up	gene
nuoK	b2279	2.9818866204948	Up	gene
nuoJ	b2280	3.94081905774449	Up	gene
nuoI	b2281	3.24229514998056	Up	gene
nuoH	b2282	3.29972860141905	Up	gene
nuoG	b2283	3.12494565990003	Up	gene
nuoF	b2284	3.66882614114883	Up	gene
nuoE	b2285	2.72471238792317	Up	gene
nuoC	b2286	1.36165674746349	Up	gene
nuoB	b2287	2.50346537761246	Up	gene
nuoA	b2288	2.54941826904656	Up	gene
nuoN	b2276	3.5351168967024	Up	gene
nuoM	b2277	3.72183292208287	Up	gene
nuoL	b2278	2.43095502158385	Up	gene
nuoK	b2279	2.9818866204948	Up	gene
nuoJ	b2280	3.94081905774449	Up	gene
nuoI	b2281	3.24229514998056	Up	gene
nuoH	b2282	3.29972860141905	Up	gene
nuoG	b2283	3.12494565990003	Up	gene
nuoF	b2284	3.66882614114883	Up	gene
nuoE	b2285	2.72471238792317	Up	gene
nuoB	b2287	2.50346537761246	Up	gene
nuoA	b2288	2.54941826904656	Up	gene
nuoN	b2276	3.5351168967024	Up	gene
nuoM	b2277	3.72183292208287	Up	gene
nuoL	b2278	2.43095502158385	Up	gene
nuoK	b2279	2.9818866204948	Up	gene
nuoJ	b2280	3.94081905774449	Up	gene
nuoI	b2281	3.24229514998056	Up	gene
nuoH	b2282	3.29972860141905	Up	gene
nuoG	b2283	3.12494565990003	Up	gene
nuoF	b2284	3.66882614114883	Up	gene
nuoE	b2285	2.72471238792317	Up	gene
nuoC	b2286	1.36165674746349	Up	gene
nuoB	b2287	2.50346537761246	Up	gene
nuoA	b2288	2.54941826904656	Up	gene
nuoN	b2276	3.5351168967024	Up	gene
nuoM	b2277	3.72183292208287	Up	gene
nuoL	b2278	2.43095502158385	Up	gene
nuoK	b2279	2.9818866204948	Up	gene
nuoJ	b2280	3.94081905774449	Up	gene
nuoI	b2281	3.24229514998056	Up	gene
nuoH	b2282	3.29972860141905	Up	gene
nuoG	b2283	3.12494565990003	Up	gene
nuoF	b2284	3.66882614114883	Up	gene
nuoE	b2285	2.72471238792317	Up	gene
nuoC	b2286	1.36165674746349	Up	gene
nuoB	b2287	2.50346537761246	Up	gene
nuoA	b2288	2.54941826904656	Up	gene
nuoN	b2276	3.5351168967024	Up	gene
nuoM	b2277	3.72183292208287	Up	gene
nuoL	b2278	2.43095502158385	Up	gene
nuoK	b2279	2.9818866204948	Up	gene
nuoJ	b2280	3.94081905774449	Up	gene
nuoI	b2281	3.24229514998056	Up	gene
nuoH	b2282	3.29972860141905	Up	gene
nuoG	b2283	3.12494565990003	Up	gene
nuoF	b2284	3.66882614114883	Up	gene
nuoE	b2285	2.72471238792317	Up	gene
nuoC	b2286	1.36165674746349	Up	gene
nuoA	b2288	2.54941826904656	Up	gene
nuoN	b2276	3.5351168967024	Up	gene
nuoM	b2277	3.72183292208287	Up	gene
nuoL	b2278	2.43095502158385	Up	gene
nuoK	b2279	2.9818866204948	Up	gene
nuoJ	b2280	3.94081905774449	Up	gene
nuoI	b2281	3.24229514998056	Up	gene
nuoH	b2282	3.29972860141905	Up	gene
nuoG	b2283	3.12494565990003	Up	gene
nuoF	b2284	3.66882614114883	Up	gene
nuoE	b2285	2.72471238792317	Up	gene
nuoC	b2286	1.36165674746349	Up	gene
nuoB	b2287	2.50346537761246	Up	gene
nuoA	b2288	2.54941826904656	Up	gene
nuoN	b2276	3.5351168967024	Up	gene
nuoM	b2277	3.72183292208287	Up	gene
nuoL	b2278	2.43095502158385	Up	gene
nuoK	b2279	2.9818866204948	Up	gene
nuoJ	b2280	3.94081905774449	Up	gene
nuoI	b2281	3.24229514998056	Up	gene
nuoH	b2282	3.29972860141905	Up	gene
nuoG	b2283	3.12494565990003	Up	gene
nuoF	b2284	3.66882614114883	Up	gene
nuoE	b2285	2.72471238792317	Up	gene
nuoC	b2286	1.36165674746349	Up	gene
nuoB	b2287	2.50346537761246	Up	gene
nuoA	b2288	2.54941826904656	Up	gene
nuoN	b2276	3.5351168967024	Up	gene
nuoM	b2277	3.72183292208287	Up	gene
nuoL	b2278	2.43095502158385	Up	gene
nuoK	b2279	2.9818866204948	Up	gene
nuoJ	b2280	3.94081905774449	Up	gene
nuoI	b2281	3.24229514998056	Up	gene
nuoH	b2282	3.29972860141905	Up	gene
nuoG	b2283	3.12494565990003	Up	gene
nuoF	b2284	3.66882614114883	Up	gene
nuoE	b2285	2.72471238792317	Up	gene
nuoC	b2286	1.36165674746349	Up	gene
nuoB	b2287	2.50346537761246	Up	gene
nuoA	b2288	2.54941826904656	Up	gene
nuoN	b2276	3.5351168967024	Up	gene
nuoM	b2277	3.72183292208287	Up	gene
nuoL	b2278	2.43095502158385	Up	gene
nuoK	b2279	2.9818866204948	Up	gene
nuoJ	b2280	3.94081905774449	Up	gene
nuoI	b2281	3.24229514998056	Up	gene
nuoH	b2282	3.29972860141905	Up	gene
nuoG	b2283	3.12494565990003	Up	gene
nuoF	b2284	3.66882614114883	Up	gene
nuoE	b2285	2.72471238792317	Up	gene
nuoC	b2286	1.36165674746349	Up	gene
nuoB	b2287	2.50346537761246	Up	gene
nuoA	b2288	2.54941826904656	Up	gene
ftsW	b0089	6.15155031066233	Down	gene
mrcB	b0149	2.015512512735	Down	gene
mrdB	b0634	6.15155031066233	Down	gene
mrdA	b0635	4.45960005048453	Down	gene
ftsK	b0890	3.72867607578343	Down	gene
zipA	b2412	1.5098730981926	Down	gene
rodZ	b2516	1.68313692083775	Down	gene
ftsB	b2748	1.55393237707159	Down	gene
mreD	b3249	6.83758824231278	Down	gene
mreC	b3250	3.80834060202969	Down	gene
ftsX	b3462	7.33436128239342	Down	gene
ftsE	b3463	5.55195516741312	Down	gene
ftsN	b3933	3.71197186997216	Down	gene
glgP	b3428	5.84148523041212	Up	gene
glgA	b3429	4.81707687089564	Up	gene
glgC	b3430	2.42276614916077	Up	gene
glgX	b3431	1.52985791993896	Up	gene
glgB	b3432	2.87853667395558	Up	gene
murE	b0085	6.13321237467468	Down	gene
murD	b0088	5.30530579784102	Down	gene
ftsW	b0089	6.15155031066233	Down	gene
murG	b0090	2.13814452312259	Down	gene
