locus_tag	gene	FDR.gene	Direction.gene
b2276	nuoN	0.00029166418515869	Up
b2277	nuoM	0.000189743574544974	Up
b2278	nuoL	0.00370719113923976	Up
b2279	nuoK	0.00104258957851499	Up
b2280	nuoJ	0.000114599030159698	Up
b2281	nuoI	0.000572406886499882	Up
b2282	nuoH	0.000501500532597637	Up
b2283	nuoG	0.000749988043994047	Up
b2284	nuoF	0.00021437486251019	Up
b2285	nuoE	0.00188489695166519	Up
b2286	nuoC	0.0434853782974996	Up
b2287	nuoB	0.00313714521652292	Up
b2288	nuoA	0.00282216064251479	Up
b2276	nuoN	0.00029166418515869	Up
b2277	nuoM	0.000189743574544974	Up
b2278	nuoL	0.00370719113923976	Up
b2279	nuoK	0.00104258957851499	Up
b2280	nuoJ	0.000114599030159698	Up
b2281	nuoI	0.000572406886499882	Up
b2282	nuoH	0.000501500532597637	Up
b2283	nuoG	0.000749988043994047	Up
b2284	nuoF	0.00021437486251019	Up
b2285	nuoE	0.00188489695166519	Up
b2287	nuoB	0.00313714521652292	Up
b2288	nuoA	0.00282216064251479	Up
b2276	nuoN	0.00029166418515869	Up
b2277	nuoM	0.000189743574544974	Up
b2278	nuoL	0.00370719113923976	Up
b2279	nuoK	0.00104258957851499	Up
b2280	nuoJ	0.000114599030159698	Up
b2281	nuoI	0.000572406886499882	Up
b2282	nuoH	0.000501500532597637	Up
b2283	nuoG	0.000749988043994047	Up
b2284	nuoF	0.00021437486251019	Up
b2285	nuoE	0.00188489695166519	Up
b2286	nuoC	0.0434853782974996	Up
b2287	nuoB	0.00313714521652292	Up
b2288	nuoA	0.00282216064251479	Up
b2276	nuoN	0.00029166418515869	Up
b2277	nuoM	0.000189743574544974	Up
b2278	nuoL	0.00370719113923976	Up
b2279	nuoK	0.00104258957851499	Up
b2280	nuoJ	0.000114599030159698	Up
b2281	nuoI	0.000572406886499882	Up
b2282	nuoH	0.000501500532597637	Up
b2283	nuoG	0.000749988043994047	Up
b2284	nuoF	0.00021437486251019	Up
b2285	nuoE	0.00188489695166519	Up
b2286	nuoC	0.0434853782974996	Up
b2287	nuoB	0.00313714521652292	Up
b2288	nuoA	0.00282216064251479	Up
b2276	nuoN	0.00029166418515869	Up
b2277	nuoM	0.000189743574544974	Up
b2278	nuoL	0.00370719113923976	Up
b2279	nuoK	0.00104258957851499	Up
b2280	nuoJ	0.000114599030159698	Up
b2281	nuoI	0.000572406886499882	Up
b2282	nuoH	0.000501500532597637	Up
b2283	nuoG	0.000749988043994047	Up
b2284	nuoF	0.00021437486251019	Up
b2285	nuoE	0.00188489695166519	Up
b2286	nuoC	0.0434853782974996	Up
b2288	nuoA	0.00282216064251479	Up
b2276	nuoN	0.00029166418515869	Up
b2277	nuoM	0.000189743574544974	Up
b2278	nuoL	0.00370719113923976	Up
b2279	nuoK	0.00104258957851499	Up
b2280	nuoJ	0.000114599030159698	Up
b2281	nuoI	0.000572406886499882	Up
b2282	nuoH	0.000501500532597637	Up
b2283	nuoG	0.000749988043994047	Up
b2284	nuoF	0.00021437486251019	Up
b2285	nuoE	0.00188489695166519	Up
b2286	nuoC	0.0434853782974996	Up
b2287	nuoB	0.00313714521652292	Up
b2288	nuoA	0.00282216064251479	Up
b2276	nuoN	0.00029166418515869	Up
b2277	nuoM	0.000189743574544974	Up
b2278	nuoL	0.00370719113923976	Up
b2279	nuoK	0.00104258957851499	Up
b2280	nuoJ	0.000114599030159698	Up
b2281	nuoI	0.000572406886499882	Up
b2282	nuoH	0.000501500532597637	Up
b2283	nuoG	0.000749988043994047	Up
b2284	nuoF	0.00021437486251019	Up
b2285	nuoE	0.00188489695166519	Up
