term	description	FDR.term	Direction.term
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
GOCC:0045272	Plasma membrane respiratory chain complex I	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
CL:2217	Quinone	4.79113319089066e-33	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
GOCC:0030964	NADH dehydrogenase complex	8.24717194485031e-31	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0874	Quinone	1.08329728850381e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
KW-0830	Ubiquinone	1.4257570911775e-29	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0045272	Plasma membrane respiratory chain complex I	9.67681722158725e-25	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
GO:0030964	NADH dehydrogenase complex	3.32605617086212e-23	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
CL:2214	NADH dehydrogenase complex, and Cytochrome o ubiquinol oxidase complex	3.22561047158964e-19	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
GOCC:0098803	Respiratory chain complex	3.07476117473482e-18	Up
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:905	Divisome complex, and Penicillin-binding protein, transpeptidase	5.80789437003571e-18	Down
CL:5328	Glycogen metabolism	9.72581158147364e-18	Up
CL:5328	Glycogen metabolism	9.72581158147364e-18	Up
CL:5328	Glycogen metabolism	9.72581158147364e-18	Up
CL:5328	Glycogen metabolism	9.72581158147364e-18	Up
CL:5328	Glycogen metabolism	9.72581158147364e-18	Up
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
CL:902	Peptidoglycan metabolic process, and Cell septum	2.11300103299984e-17	Down
KW-0396	Initiation factor	7.79061566353636e-17	Up
KW-0396	Initiation factor	7.79061566353636e-17	Up
KW-0396	Initiation factor	7.79061566353636e-17	Up
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:903	Cell shape, and Divisome complex	8.02301206796714e-17	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:904	Cell shape, and Divisome complex	3.47127700847871e-16	Down
CL:928	Mixed, incl. Cell cycle protein, and Cytoskeleton	5.22290753279574e-16	Down
CL:928	Mixed, incl. Cell cycle protein, and Cytoskeleton	5.22290753279574e-16	Down
CL:928	Mixed, incl. Cell cycle protein, and Cytoskeleton	5.22290753279574e-16	Down
CL:928	Mixed, incl. Cell cycle protein, and Cytoskeleton	5.22290753279574e-16	Down
