protein	gene
A5A605	ykfM
C1P5Z9	ymiB
C1P600	ynbG
C1P604	yobI
C1P612	yqcG
C1P613	yqeL
P00452	nrdA
P00579	rpoD
P00803	lepB
P00804	lspA
P00954	trpS
P00956	ileS
P00957	alaS
P00959	metG
P00960	glyQ
P00961	glyS
P00962	glnS
P02358	rpsF
P02359	rpsG
P02413	rplO
P02929	tonB
P03004	dnaA
P04036	dapB
P04079	guaA
P04805	gltX
P04951	kdsB
P05852	tsaD
P06136	ftsQ
P06612	topA
P06616	era
P06709	birA
P06710	dnaX
P06959	aceF
P06961	cca
P06966	dicA
P06968	dut
P06983	hemC
P07012	prfB
P07013	priB
P07118	valS
P07395	pheT
P07813	leuS
P08192	folC
P08312	pheS
P08373	murB
P08839	ptsI
P09126	hemD
P09372	grpE
P0A6A0	ubiB
P0A6A8	acpP
P0A6B7	iscS
P0A6F5	groL
P0A6F9	groS
P0A6I3	coaA
P0A6I6	coaD
P0A6I9	coaE
P0A6K1	dapF
P0A6K3	def
P0A6L2	dapA
P0A6M8	fusA
P0A6P1	tsf
P0A6P5	der
P0A6P7	engB
P0A6P9	eno
P0A6Q3	fabA
P0A6Q6	fabZ
P0A6R0	fabH
P0A6S5	ftsB
P0A6S7	gpsA
P0A6T5	folE
P0A6W3	mraY
P0A6X1	hemA
P0A6X7	ihfA
P0A6Z1	hscA
P0A705	infB
P0A707	infC
P0A715	kdsA
P0A717	prs
P0A720	tmk
P0A722	lpxA
P0A725	lpxC
P0A749	murA
P0A752	nadD
P0A780	nusB
P0A784	orn
P0A799	pgk
P0A7A7	plsB
P0A7A9	ppa
P0A7B3	nadK
P0A7C2	lexA
P0A7D1	pth
P0A7E5	pyrG
P0A7E9	pyrH
P0A7G2	rbfA
P0A7I0	prfA
P0A7I7	ribA
P0A7J3	rplJ
P0A7J7	rplK
P0A7K2	rplL
P0A7K6	rplS
P0A7L0	rplA
P0A7L3	rplT
P0A7L8	rpmA
P0A7M2	rpmB
P0A7M6	rpmC
P0A7N4	rpmF
P0A7P5	rpmH
P0A7Q1	rpmI
P0A7R5	rpsJ
P0A7R9	rpsK
P0A7S3	rpsL
P0A7S9	rpsM
P0A7T3	rpsP
P0A7T7	rpsR
P0A7U3	rpsS
P0A7U7	rpsT
P0A7V0	rpsB
P0A7V3	rpsC
P0A7V8	rpsD
P0A7W1	rpsE
P0A7W7	rpsH
P0A7X3	rpsI
P0A7X6	rimM
P0A7Y8	rnpA
P0A7Z4	rpoA
P0A805	frr
P0A817	metK
P0A825	glyA
P0A873	trmD
P0A884	thyA
P0A887	ubiE
P0A898	ybeY
P0A8I1	yqgF
P0A8J2	dnaT
P0A8K1	psd
P0A8L1	serS
P0A8M0	asnS
P0A8M3	thrS
P0A8N3	lysS
P0A8T7	rpoC
P0A8V2	rpoB
P0A940	bamA
P0A953	fabB
P0A988	dnaN
P0A9A6	ftsZ
P0A9B2	gapA
P0A9D8	dapD
P0A9P0	lpdA
P0A9Q5	accD
P0A9Q9	asd
P0A9R4	fdx
P0A9V1	lptB
P0A9X4	mreB
P0AA10	rplM
P0AAB4	ubiD
P0AAI3	ftsH
P0AAI9	fabD
P0AAZ7	ycaR
P0AB18	tusE
P0AB71	fbaA
P0AB89	purB
P0ABD5	accA
P0ABD8	accB
P0ABF8	pgsA
P0ABG1	cdsA
P0ABG4	ftsW
P0ABG7	mrdB
P0ABH0	ftsA
P0ABH4	mreD
P0ABJ9	cydA
P0ABK2	cydB
P0ABQ0	coaBC
P0ABQ4	folA
P0ABS5	dnaG
P0AC02	bamD
P0AC13	folP
P0AC16	folB
P0AC75	waaA
P0ACB0	dnaB
P0ACB2	hemB
P0ACB4	hemG
P0ACC1	prmC
