HOG	OG	Gene Tree Parent Clade	GCA_000005845.2	GCA_000025565.1	GCA_000742755.1
N0.HOG0000000	OG0000000	n1	b3521 _rcdB_ putative DNA-binding transcriptional regulator YhjC	ECL_04924 LysR family transcriptional regulator	VK055_3598 putative transcriptional regulator LYSR-type
N0.HOG0000001	OG0000000	n8		ECL_03990 LysR family transcriptional regulator, ECL_00803 LysR family transcriptional regulator, ECL_02608 transcriptional regulator_ LysR family, ECL_00005 LysR family transcriptional regulator, ECL_03530 LysR family transcriptional regulator, ECL_02096 transcriptional regulator_ LysR family, ECL_01094 transcriptional regulator_ LysR family	VK055_4064 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_1413 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_4526 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_0776 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_0447 bacterial regulatory helix-turn-helix_ lysR family protein
N0.HOG0000002	OG0000000	n21			VK055_5061 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_2549 bacterial regulatory helix-turn-helix_ lysR family protein
N0.HOG0000003	OG0000000	n23	b0282 _yagP_ putative LysR family substrate binding domain-containing protein YagP		VK055_1273 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_0310 bacterial regulatory helix-turn-helix_ lysR family protein
N0.HOG0000004	OG0000000	n26	b1328 _pgrR_ DNA-binding transcriptional repressor PgrR		VK055_4212 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_1128 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_0577 bacterial regulatory helix-turn-helix_ lysR family protein
N0.HOG0000005	OG0000000	n29	b0900 _ycaN_ putative DNA-binding transcriptional regulator YcaN		VK055_1020 bacterial regulatory helix-turn-helix_ lysR family protein
N0.HOG0000006	OG0000000	n30		ECL_02553 LysR family transcriptional regulator	VK055_0757 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_3431 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_0756 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_4967 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_1383 bacterial regulatory helix-turn-helix_ lysR family protein
N0.HOG0000007	OG0000000	n35		ECL_01916 LysR family transcriptional regulator	VK055_1081 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_4555 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_1276 bacterial regulatory helix-turn-helix_ lysR family protein
N0.HOG0000008	OG0000001	n1	b2110 _yehC_ putative fimbrial chaperone YehC	ECL_00065 putative pili assembly chaperone	VK055_4243 gram-negative pili assembly chaperone_ C-terminal domain protein
N0.HOG0000009	OG0000001	n5	b0140 _yadV_ putative fimbrial chaperone YadV	ECL_00941 putative chaperone protein EcpD	
N0.HOG0000010	OG0000001	n7	b0944 _ycbF_ putative fimbrial chaperone YcbF		VK055_4072 gram-negative pili assembly chaperone_ C-terminal domain protein, VK055_2926 gram-negative pili assembly chaperone_ C-terminal domain protein, VK055_4071 gram-negative pili assembly chaperone_ C-terminal domain protein, VK055_4068 gram-negative pili assembly chaperone_ C-terminal domain protein
N0.HOG0000011	OG0000001	n12		ECL_02381 chaperone protein LpfB, ECL_02931 hypothetical protein	VK055_2996 gram-negative pili assembly chaperone_ C-terminal domain protein, VK055_4531 gram-negative pili assembly chaperone_ C-terminal domain protein
N0.HOG0000012	OG0000001	n16	b3143 _yraI_ putative fimbrial chaperone YraI		VK055_0815 gram-negative pili assembly chaperone_ C-terminal domain protein
N0.HOG0000013	OG0000001	n18	b0939 _elfD_ putative fimbrial chaperone ElfD	ECL_00092 P pilus assembly protein_ chaperone PapD	
N0.HOG0000014	OG0000001	n20	b4316 _fimC_ type 1 fimbriae periplasmic chaperone		VK055_4231 gram-negative pili assembly chaperone_ C-terminal domain protein
N0.HOG0000015	OG0000001	n21	b0531 _sfmC_ putative fimbrial chaperone SfmC	ECL_01280 _fimC_ fimbrial chaperone protein	VK055_2289 gram-negative pili assembly chaperone_ C-terminal domain protein
N0.HOG0000016	OG0000002	n0		ECL_00542 putative IS903 trasposase, ECL_00500 putative transposase, ECL_01071 putative IS903 transposase, ECL_01578 putative IS903 transposase, ECL_A013 putative transposase, ECL_01816 putative IS903 transposase, ECL_01393 putative IS903 transposase, ECL_02303 putative transposase, ECL_04470 putative transposase, ECL_01555 putative IS903 transposase, ECL_01559 putative IS903 transposase, ECL_04903 putative transposase, ECL_03131 putative transposase, ECL_01026 putative IS903 transposase, ECL_00067 IS903 transposase, ECL_00688 putative transposase, ECL_04473 putative transposase, ECL_00773 putative IS903 transposase, ECL_01764 putative IS903 transposase, ECL_00685 putative transposase, ECL_02174 putative IS903 transposase, ECL_00772 putative IS903 transposase, ECL_04472 putative transposase, ECL_02175 hypothetical protein	
